Name,Year,Genre
Crash Bandicoot 2: Cortex Strikes Back,1997.0,Platform
Super Mario Bros. 2,1988.0,Platform
Super Smash Bros. for Wii U and 3DS,2014.0,Fighting
Call of Duty: World at War,2008.0,Shooter
Battlefield 3,2011.0,Shooter
The Legend of Zelda: Twilight Princess,2006.0,Action
Just Dance,2009.0,Misc
Need for Speed Underground,2003.0,Racing
Tekken 3,1998.0,Fighting
Crash Bandicoot 3: Warped,1998.0,Platform
Super Smash Bros. Melee,2001.0,Fighting
Mario Kart 8,2014.0,Racing
Fallout 4,2015.0,Role-Playing
Mario Kart: Double Dash!!,2003.0,Racing
Just Dance 4,2012.0,Misc
FIFA 14,2013.0,Sports
Need for Speed Underground 2,2004.0,Racing
Medal of Honor: Frontline,2002.0,Shooter
Uncharted 3: Drake's Deception,2011.0,Action
Crash Bandicoot,1996.0,Platform
Zumba Fitness,2010.0,Sports
Gears of War 2,2008.0,Shooter
Uncharted 2: Among Thieves,2009.0,Action
FIFA 12,2011.0,Sports
Big Brain Academy,2005.0,Misc
Red Dead Redemption,2010.0,Action
FIFA 15,2014.0,Sports
Donkey Kong Country Returns,2010.0,Platform
The Legend of Zelda,1986.0,Action
Assassin's Creed III,2012.0,Action
Halo: Combat Evolved,2001.0,Shooter
Pokémon Emerald Version,2004.0,Role-Playing
Kingdom Hearts,2002.0,Role-Playing
Pokémon Crystal Version,2000.0,Role-Playing
Halo 3: ODST,2009.0,Shooter
Super Mario Sunshine,2002.0,Platform
Street Fighter II: The World Warrior,1992.0,Fighting
World of Warcraft,2004.0,Role-Playing
Driver,1999.0,Action
Kinect Sports,2010.0,Sports
Gears of War 3,2011.0,Shooter
Gears of War,2006.0,Shooter
Metal Gear Solid 2: Sons of Liberty,2001.0,Action
Sonic the Hedgehog 2,1992.0,Platform
Metal Gear Solid 4: Guns of the Patriots,2008.0,Action
Metal Gear Solid,1998.0,Action
The Last of Us,2013.0,Action
Final Fantasy XII,2006.0,Role-Playing
LittleBigPlanet,2008.0,Platform
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing
LEGO Star Wars: The Complete Saga,2007.0,Action
Resident Evil 2,1998.0,Action
Tekken 2,1996.0,Fighting
Cooking Mama,2006.0,Simulation
Destiny,2014.0,Shooter
Assassin's Creed II,2009.0,Action
Super Smash Bros.,1999.0,Fighting
Assassin's Creed,2007.0,Adventure
Batman: Arkham City,2011.0,Action
Forza Motorsport 3,2009.0,Racing
Monster Hunter Freedom Unite,2008.0,Role-Playing
Super Mario Advance,2001.0,Platform
Mario Kart: Super Circuit,2001.0,Racing
Pokemon Stadium,1999.0,Strategy
Crash Bandicoot: The Wrath of Cortex,2001.0,Platform
Final Fantasy XIII,2009.0,Role-Playing
Dr. Mario,1989.0,Puzzle
Pokemon Pinball,1999.0,Misc
Final Fantasy IX,2000.0,Role-Playing
Final Fantasy X-2,2003.0,Role-Playing
Donkey Kong 64,1999.0,Platform
Professor Layton and the Curious Village,2007.0,Puzzle
Tomb Raider II,1997.0,Action
Madden NFL 2004,,Sports
Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing
Diablo III,2012.0,Role-Playing
New Super Mario Bros. U,2012.0,Platform
Super Mario Land 3: Wario Land,1994.0,Platform
The Legend of Zelda: Phantom Hourglass,2007.0,Action
Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform
Tomodachi Life,2013.0,Simulation
Medal of Honor: Rising Sun,2003.0,Shooter
Kirby's Dream Land,1992.0,Platform
Fable III,2010.0,Role-Playing
Microsoft Flight Simulator,1996.0,Simulation
Guitar Hero II,2006.0,Misc
Resident Evil 5,2009.0,Action
Grand Theft Auto: Vice City Stories,2006.0,Action
FIFA Soccer 11,2010.0,Sports
Resident Evil,1996.0,Action
Tony Hawk's Pro Skater,1999.0,Sports
Warzone 2100,1999.0,Strategy
Spyro the Dragon,1998.0,Platform
Link's Crossbow Training,2007.0,Shooter
Guitar Hero III: Legends of Rock,2007.0,Misc
Fallout 3,2008.0,Role-Playing
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,Role-Playing
Uncharted: Drake's Fortune,2007.0,Action
Madden NFL 06,2005.0,Sports
Diddy Kong Racing,1997.0,Racing
Monster Hunter Freedom 3,2010.0,Role-Playing
God of War III,2010.0,Action
StarCraft II: Wings of Liberty,2010.0,Strategy
Crash Team Racing,1999.0,Racing
FIFA 17,2016.0,Sports
Driver 2,2000.0,Action
The Simpsons: Hit & Run,2003.0,Racing
Tony Hawk's Pro Skater 2,2000.0,Sports
Animal Crossing: City Folk,2008.0,Simulation
The Lord of the Rings: The Two Towers,2002.0,Action
Forza Motorsport 4,2011.0,Racing
Tomb Raider,1996.0,Action
The Legend of Zelda: A Link to the Past,1991.0,Action
The Legend of Zelda: The Wind Waker,2002.0,Action
Mario & Sonic at the Olympic Winter Games,2009.0,Sports
Luigi's Mansion: Dark Moon,2013.0,Action
Splatoon,2015.0,Shooter
Madden NFL 2005,2004.0,Sports
Pitfall!,1981.0,Platform
Madden NFL 07,2006.0,Sports
Spider-Man: The Movie,2002.0,Action
Dragon Quest VII: Warriors of Eden,2000.0,Role-Playing
Uncharted: The Nathan Drake Collection,2015.0,Action
God of War,2005.0,Action
Nintendo Land,2012.0,Misc
Michael Jackson: The Experience,2010.0,Misc
Tony Hawk's Pro Skater 3,2001.0,Sports
Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing
Zelda II: The Adventure of Link,1987.0,Adventure
Need for Speed: Most Wanted,2005.0,Racing
Resistance: Fall of Man,2006.0,Shooter
Sonic the Hedgehog,1991.0,Platform
Kingdom Hearts II,2005.0,Role-Playing
Asteroids,1980.0,Shooter
Fable II,2008.0,Role-Playing
Halo 5: Guardians,2015.0,Shooter
Super Mario 3D World,2013.0,Platform
Batman: Arkham Asylum,2009.0,Action
Assassin's Creed: Revelations,2011.0,Action
Namco Museum,2001.0,Misc
Metal Gear Solid 3: Snake Eater,2004.0,Action
Daxter,2006.0,Platform
Warcraft II: Tides of Darkness,1995.0,Strategy
FIFA Soccer 06,2005.0,Sports
EyeToy Play,2003.0,Misc
Uncharted 4: A Thief's End,2016.0,Shooter
Gran Turismo 5 Prologue,2007.0,Racing
Street Fighter IV,2009.0,Fighting
Teenage Mutant Ninja Turtles,1989.0,Action
Excitebike,1984.0,Racing
Frogger,1997.0,Action
Madden NFL 2003,2002.0,Sports
Watch Dogs,2014.0,Action
Half-Life,1997.0,Shooter
Super Mario World 2: Yoshi's Island,1995.0,Platform
FIFA Soccer 07,2006.0,Sports
The Legend of Zelda: Skyward Sword,2011.0,Action
Street Fighter II Turbo,1992.0,Fighting
Carnival Games,2007.0,Misc
World of Warcraft: The Burning Crusade,2007.0,Role-Playing
Fallout: New Vegas,2010.0,Role-Playing
God of War II,2007.0,Action
Forza Motorsport 2,2007.0,Racing
World Soccer Winning Eleven 9,2005.0,Sports
Namco Museum Vol.3,1996.0,Misc
Tekken Tag Tournament,2000.0,Fighting
Far Cry 4,2014.0,Shooter
Star Fox 64,1997.0,Shooter
Golf,1984.0,Sports
Professor Layton and the Diabolical Box,2007.0,Puzzle
Left 4 Dead 2,2009.0,Shooter
Namco Museum: 50th Anniversary,2005.0,Misc
EA Sports Active,2009.0,Sports
Assassin's Creed: Unity,2014.0,Action
Donkey Kong Land,1994.0,Platform
Tony Hawk's Underground,2003.0,Sports
Assassin's Creed IV: Black Flag,2013.0,Action
Monster Hunter 4 Ultimate,2014.0,Role-Playing
MotorStorm,2006.0,Racing
Tekken 5,2005.0,Fighting
Dragon Warrior III,1988.0,Role-Playing
Sports Champions,2010.0,Sports
NBA 2K16,2015.0,Sports
World Soccer Winning Eleven 8 International,2004.0,Sports
Flash Focus: Vision Training in Minutes a Day,2007.0,Misc
Namco Museum Vol.1,1995.0,Misc
The Legend of Zelda: Link's Awakening,1992.0,Action
Mario & Luigi: Bowser's Inside Story,2009.0,Role-Playing
Big Brain Academy: Wii Degree,2007.0,Misc
Nintendogs + cats,2011.0,Simulation
Batman: Arkham Knight,2015.0,Action
Mario & Sonic at the London 2012 Olympic Games,2011.0,Sports
LEGO Indiana Jones: The Original Adventures,2008.0,Action
Resident Evil Director's Cut,1996.0,Action
Ratchet & Clank: Size Matters,2007.0,Platform
Just Dance 2014,2013.0,Misc
The Sims: Unleashed,2002.0,Simulation
Super Paper Mario,2007.0,Platform
Harry Potter and the Sorcerer's Stone,2001.0,Action
The Witcher 3: Wild Hunt,2015.0,Role-Playing
Resident Evil 3: Nemesis,1999.0,Action
Spyro: Year of the Dragon,2000.0,Platform
FIFA Soccer 2005,2004.0,Sports
Pokémon Trading Card Game,1998.0,Strategy
Battlefield 4,2013.0,Shooter
MySims,2007.0,Simulation
Friend Collection,2009.0,Misc
Tony Hawk's Pro Skater 4,2002.0,Sports
Midnight Club 3: DUB Edition,2005.0,Racing
Banjo-Kazooie,1998.0,Platform
SOCOM: U.S. Navy SEALs,2002.0,Shooter
Guitar Hero: World Tour,2008.0,Misc
Gran Turismo 6,2013.0,Racing
Jak and Daxter: The Precursor Legacy,2001.0,Platform
Pokemon Snap,1999.0,Simulation
FIFA Soccer 10,2009.0,Sports
Pro Evolution Soccer 2008,2007.0,Sports
Resident Evil 4,2005.0,Action
Tom Clancy's The Division,2016.0,Shooter
Star Wars: Battlefront,2004.0,Shooter
Doom II: Hell on Earth,1994.0,Shooter
The Simpsons: Road Rage,2001.0,Racing
Cooking Mama 2: Dinner With Friends,2007.0,Simulation
Luigi's Mansion,2001.0,Action
Star Wars: Battlefront II,2005.0,Shooter
WWF SmackDown!,2000.0,Fighting
Croc: Legend of the Gobbos,1997.0,Platform
The Getaway,2002.0,Action
Tomb Raider III: Adventures of Lara Croft,1997.0,Action
James Bond 007: Agent Under Fire,2001.0,Shooter
LEGO Star Wars: The Video Game,2005.0,Action
Rugrats in Paris: The Movie,2000.0,Action
Spyro 2: Ripto's Rage!,1999.0,Platform
Left 4 Dead,2008.0,Shooter
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,Platform
Assassin's Creed: Brotherhood,2010.0,Action
Kung Fu,1985.0,Action
Clubhouse Games,2006.0,Misc
FIFA Soccer 2004,,Sports
Battlefield: Bad Company 2,2010.0,Shooter
Guitar Hero: On Tour,2008.0,Misc
Far Cry 3,2012.0,Shooter
Monster Hunter 4,2013.0,Role-Playing
Borderlands,2009.0,Shooter
Tekken 4,2002.0,Fighting
LittleBigPlanet 2,2011.0,Platform
Grand Theft Auto 2,1998.0,Action
Final Fantasy III,1994.0,Role-Playing
Spider-Man 2,2004.0,Action
F-1 Race,1990.0,Racing
FIFA Soccer 2003,2002.0,Sports
Crash Bash,2000.0,Misc
LEGO Batman: The Videogame,2008.0,Action
Metal Gear Solid V: The Phantom Pain,2015.0,Action
The Legend of Zelda: Spirit Tracks,2009.0,Action
WWF War Zone,1998.0,Fighting
The Legend of Zelda: Majora's Mask,2000.0,Action
Professor Layton and the Unwound Future,2008.0,Puzzle
Rugrats: Search For Reptar,1998.0,Adventure
English Training: Have Fun Improving Your Skills!,2006.0,Misc
James Bond 007: Nightfire,2002.0,Shooter
Ratchet & Clank,2002.0,Platform
Mario Party 9,2012.0,Misc
Star Wars Episode III: Revenge of the Sith,2005.0,Action
Max Payne,2001.0,Shooter
The Lord of the Rings: The Return of the King,2003.0,Action
Assassin's Creed Syndicate,2015.0,Action
True Crime: Streets of LA,2003.0,Action
Wii Music,2008.0,Misc
Gran Turismo (PSP),2009.0,Racing
Monster Hunter X,2015.0,Action
Tekken,1995.0,Fighting
L.A. Noire,2011.0,Adventure
Madden NFL 16,2015.0,Sports
Yokai Watch 2 Ganso/Honke,2014.0,Role-Playing
007: Tomorrow Never Dies,1999.0,Shooter
Baseball,1983.0,Sports
Killer Instinct,1995.0,Fighting
WWF SmackDown! 2: Know Your Role,2000.0,Fighting
Crisis Core: Final Fantasy VII,2007.0,Role-Playing
God of War: Chains of Olympus,2008.0,Action
Dragon Quest VI: Maboroshi no Daichi,1995.0,Role-Playing
Dance Central,2010.0,Misc
Enter the Matrix,2003.0,Action
Super Mario Maker,2015.0,Platform
Rhythm Heaven,2008.0,Misc
Ace Combat 04: Shattered Skies,2001.0,Simulation
Club Penguin: Elite Penguin Force,2008.0,Adventure
Animal Crossing,2001.0,Simulation
Sonic Rush,2005.0,Platform
Resident Evil 6,2012.0,Shooter
Halo: The Master Chief Collection,2014.0,Shooter
FIFA Soccer 08,2007.0,Sports
Spider-Man,2000.0,Action
Need for Speed III: Hot Pursuit,1998.0,Racing
Star Wars Episode I Racer,1999.0,Racing
Personal Trainer: Cooking,2006.0,Misc
Dragon Warrior IV,1990.0,Role-Playing
Heavy Rain,2010.0,Adventure
Mass Effect 2,2010.0,Role-Playing
Dragon Ball Z: Budokai,2002.0,Fighting
Madden NFL 2002,2001.0,Sports
World Class Track Meet,1986.0,Sports
Borderlands 2,2012.0,Shooter
The Legend of Zelda: A Link Between Worlds,2013.0,Action
Donkey Kong,1994.0,Platform
The Sims: Vacation,2002.0,Simulation
Mass Effect 3,2012.0,Role-Playing
Kung Fu Panda,2008.0,Action
Epic Mickey,2010.0,Platform
Saints Row 2,2008.0,Action
Rayman,1995.0,Platform
Killzone 2,2009.0,Shooter
Tom Clancy's Splinter Cell,2002.0,Action
Mike Tyson's Punch-Out!!,1987.0,Fighting
WWE SmackDown! Shut Your Mouth,2002.0,Sports
Gears of War: Ultimate Edition,2015.0,Shooter
NBA 2K13,2012.0,Sports
Dragon Ball Z: Budokai Tenkaichi 3,2007.0,Fighting
wwe Smackdown vs. Raw 2006,,Fighting
Middle-Earth: Shadow of Mordor,2014.0,Action
Star Fox,1993.0,Shooter
The Sims: Livin Large,2000.0,Misc
World Soccer Winning Eleven 6 International,2002.0,Sports
Devil May Cry,2001.0,Action
Animal Crossing: Happy Home Designer,2015.0,Simulation
The Sims 4,2014.0,Simulation
Star Wars: The Old Republic,2011.0,Role-Playing
Sonic Heroes,2003.0,Platform
Kirby Super Star Ultra,2008.0,Platform
Hitman 2: Silent Assassin,2002.0,Action
Wave Race 64,1996.0,Racing
SOCOM II: U.S. Navy SEALs,2003.0,Shooter
WWE SmackDown! vs. RAW 2006,2005.0,Fighting
inFAMOUS,2009.0,Action
Pac-Man Collection,2001.0,Puzzle
Mass Effect,2007.0,Role-Playing
WarioWare: Smooth Moves,2006.0,Puzzle
Cooking Mama: Cook Off,2007.0,Simulation
Titanfall,2014.0,Shooter
Sonic Mega Collection Plus,2004.0,Misc
Sega Superstars Tennis,2008.0,Sports
World Soccer Winning Eleven 7 International,2003.0,Sports
Hot Shots Golf 3,2001.0,Sports
Call of Duty: Finest Hour,2004.0,Shooter
Zumba Fitness 2,2011.0,Sports
Syphon Filter,1999.0,Shooter
Imagine: Babyz,2007.0,Simulation
Colin McRae Rally,1998.0,Racing
Madden NFL 13,2012.0,Sports
The Elder Scrolls III: Morrowind,2002.0,Role-Playing
Mortal Kombat,2011.0,Fighting
F-Zero,1990.0,Racing
Yoshi's Story,1997.0,Platform
Command & Conquer: Red Alert,1996.0,Strategy
Skylanders: Spyro's Adventure,2011.0,Action
BioShock,2007.0,Shooter
Madden NFL 10,2009.0,Sports
Medal of Honor,2010.0,Shooter
WWE SmackDown! vs. Raw,2002.0,Fighting
Metroid Prime,2002.0,Shooter
Finding Nemo,2003.0,Action
Myst,1994.0,Adventure
Need for Speed: Hot Pursuit,2010.0,Racing
Imagine: Fashion Designer,2007.0,Simulation
WWE SmackDown! Here Comes the Pain,2003.0,Fighting
Star Wars: The Force Unleashed,2008.0,Action
Yoshi's Island DS,2006.0,Platform
Hot Shots Golf,1997.0,Sports
Killzone 3,2011.0,Shooter
A Bug's Life,1998.0,Platform
WWF SmackDown! Just Bring It,2001.0,Fighting
Dragon Quest V: Tenkuu no Hanayome,1992.0,Role-Playing
Mortal Kombat Trilogy,1996.0,Fighting
NBA Street,2001.0,Sports
Professor Layton and the Last Specter,2009.0,Puzzle
Monster Hunter Tri,2011.0,Role-Playing
Jak II,2003.0,Platform
inFAMOUS: Second Son,2014.0,Action
Ratchet & Clank: Going Commando,2003.0,Platform
Tekken 6,2009.0,Fighting
The Sims,2003.0,Simulation
Sonic and the Secret Rings,2007.0,Platform
Saints Row: The Third,2011.0,Action
Missile Command,1980.0,Shooter
Mario Paint,1992.0,Misc
Pokémon Stadium 2,2000.0,Strategy
Metroid,1986.0,Action
Call of Duty 3,2006.0,Shooter
Onimusha: Warlords,2001.0,Action
Mortal Kombat X,2015.0,Fighting
Mario Party,1998.0,Misc
Madden NFL 12,2011.0,Sports
LEGO Star Wars II: The Original Trilogy,2006.0,Action
Madden NFL 11,2010.0,Sports
Mario vs. Donkey Kong: Mini-Land Mayhem!,2010.0,Puzzle
Skate 3,2010.0,Sports
Burnout 3: Takedown,2004.0,Racing
Yokai Watch 2 Shinuchi,2014.0,Role-Playing
Need for Speed: Shift,2009.0,Racing
Final Fantasy XIII-2,2011.0,Role-Playing
Call Of Duty 2: Big Red One,2005.0,Shooter
Fable,2004.0,Role-Playing
Hannah Montana,2006.0,Action
Skylanders Giants,2012.0,Action
Medal of Honor Heroes,2006.0,Shooter
Super Mario Bros.: The Lost Levels,1986.0,Platform
Star Wars: Shadows of the Empire,1996.0,Action
Midnight Club: Street Racing,2000.0,Racing
Pac-Man: Adventures in Time,2006.0,Fighting
Halo Wars,2009.0,Strategy
God of War Collection,2009.0,Action
ESPN NFL 2K5,2004.0,Sports
Mario Strikers Charged,2007.0,Sports
NBA 2K12,2011.0,Sports
Style Savvy,2008.0,Simulation
Harry Potter and the Chamber of Secrets,2002.0,Action
Super Mario All-Stars: Limited Edition,2010.0,Platform
Streets of Rage,1990.0,Action
FIFA Soccer 09,2008.0,Sports
Ratchet & Clank Future: Tools of Destruction,2007.0,Platform
NBA Live 2005,2004.0,Sports
Killzone: Shadow Fall,2013.0,Shooter
Ghostbusters: The Video Game (DS Version),2009.0,Action
Monster Hunter Freedom 2,2007.0,Role-Playing
WWE SmackDown vs. RAW 2007,2006.0,Fighting
Ratchet & Clank: Up Your Arsenal,2004.0,Platform
Art Academy,2010.0,Misc
Dragon Age: Origins,2009.0,Role-Playing
Madden NFL 08,2007.0,Sports
Sonic Adventure 2 Battle,2001.0,Platform
Dragon Warrior II,1987.0,Role-Playing
Pokémon Colosseum,2003.0,Role-Playing
Deca Sports,2008.0,Sports
Madden NFL 09,2008.0,Sports
Space Invaders,,Shooter
Crazy Taxi,2001.0,Racing
Perfect Dark,2000.0,Action
Game Party,2007.0,Misc
Dragon Warrior,1986.0,Role-Playing
Tomb Raider (2013),2013.0,Action
Marvel: Ultimate Alliance,2006.0,Role-Playing
PES 2009: Pro Evolution Soccer,2008.0,Sports
Mario Party 2,1999.0,Misc
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003.0,Action
LEGO Harry Potter: Years 1-4,2010.0,Action
Mortal Kombat: Deadly Alliance,2002.0,Fighting
Resistance 2,2008.0,Shooter
Pure,2008.0,Racing
Tomb Raider: The Last Revelation,1998.0,Action
Rock Band,,Misc
NBA 2K14,2013.0,Sports
Mario Party 4,2002.0,Misc
uDraw Studio,2010.0,Misc
Midnight Club: Los Angeles,2008.0,Racing
Final Fantasy V,1992.0,Role-Playing
Final Fantasy Tactics,1997.0,Role-Playing
Twisted Metal 2,1996.0,Racing
Halo: Combat Evolved Anniversary,2011.0,Shooter
Need for Speed Carbon: Own the City,2006.0,Racing
The Sims: Bustin' Out,2003.0,Simulation
Riven: The Sequel to Myst,1997.0,Adventure
Tom Clancy's Rainbow Six: Vegas 2,2008.0,Shooter
Sonic Adventure,1998.0,Platform
Ice Hockey,1988.0,Sports
pro evolution soccer 2011,2010.0,Sports
Dragon Ball Z: Budokai 2,2003.0,Fighting
ATV Offroad Fury,2001.0,Racing
Dino Crisis,1998.0,Action
Need for Speed: ProStreet,2007.0,Racing
Tetris Plus,1996.0,Puzzle
Pro Wrestling,1987.0,Fighting
Theme Hospital,1997.0,Strategy
Frogger's Adventures: Temple of the Frog,,Adventure
Need for Speed (2015),2015.0,Racing
Monopoly,1994.0,Misc
Batman: Arkham Origins,2013.0,Action
Dead Island,2011.0,Action
Guitar Hero,2005.0,Misc
Kinect: Disneyland Adventures,2011.0,Misc
WCW/nWo Revenge,1998.0,Fighting
Bloodborne,2015.0,Action
NBA 2K15,2014.0,Sports
Yu-Gi-Oh! The Duelists of the Roses,2001.0,Misc
Half-Life 2,2004.0,Shooter
The Incredibles,2004.0,Action
Tony Hawk's Underground 2,2004.0,Sports
Kinect Sports: Season Two,2011.0,Sports
Kirby's Dream Land 2,1995.0,Platform
Donkey Kong Land II,1996.0,Platform
Dragon Warrior Monsters,1998.0,Role-Playing
Skylanders SWAP Force,2013.0,Platform
WWE SmackDown vs Raw 2008,2007.0,Fighting
My Fitness Coach,2008.0,Sports
Resident Evil - Code: Veronica X,2001.0,Action
The Legend of Zelda: Majora's Mask 3D,2015.0,Action
Just Dance Kids,2010.0,Misc
Mario Tennis,2000.0,Sports
Grand Theft Auto,1997.0,Action
James Bond 007: Everything or Nothing,2004.0,Shooter
WarioWare Touched!,2004.0,Puzzle
Need For Speed: High Stakes,1999.0,Racing
Chrono Trigger,1995.0,Role-Playing
Cool Boarders 3,1998.0,Sports
LEGO Marvel Super Heroes,2013.0,Action
Guild Wars 2,2012.0,Action
Pokemon Ranger: Shadows of Almia,2008.0,Role-Playing
God of War: Ascension,2013.0,Action
Pro Evolution Soccer 2010,2009.0,Sports
Just Dance 2015,2014.0,Misc
Yokai Watch Busters,2015.0,Action
Mario Bros.,1983.0,Platform
TOCA Touring Car Championship,1997.0,Racing
Paper Mario: Sticker Star,2012.0,Role-Playing
Sonic's Ultimate Genesis Collection,2009.0,Misc
Super Monkey Ball: Banana Blitz,2006.0,Misc
Kirby: Nightmare in Dream Land,2002.0,Platform
Wario Land 4,2001.0,Platform
Onimusha 2: Samurai's Destiny,2002.0,Adventure
Cool Boarders 2,1997.0,Sports
Paper Mario: The Thousand-Year Door,2004.0,Role-Playing
Dissidia: Final Fantasy,2008.0,Fighting
Sonic Advance,2001.0,Platform
Spyro: Season of Ice,2001.0,Platform
Teenage Mutant Ninja Turtles II: The Arcade Game,1990.0,Action
Dance Dance Revolution X2,2009.0,Simulation
New Super Luigi U,2013.0,Platform
Prince of Persia: The Sands of Time,2003.0,Action
Scribblenauts,2009.0,Puzzle
The Legend of Zelda: Link's Awakening DX,1998.0,Adventure
BioShock 2,2010.0,Shooter
Devil May Cry 3: Dante's Awakening Special Edition,2006.0,Action
Rock Band 2,2008.0,Misc
Wario Land 3,2000.0,Platform
Pro Yakyuu Family Stadium,1986.0,Sports
Sonic Unleashed,2008.0,Platform
High School Musical: Makin' the Cut!,2007.0,Puzzle
Pro Evolution Soccer 2012,2011.0,Action
Saints Row,2006.0,Action
Star Wars: Knights of the Old Republic,2003.0,Role-Playing
Kirby's Pinball Land,1992.0,Misc
Hitman: Absolution,2012.0,Action
Yu-Gi-Oh: Duel Monsters 4,2000.0,Role-Playing
ATV Offroad Fury 2,2002.0,Racing
Forza Motorsport 5,2013.0,Racing
Madden NFL 25,2013.0,Sports
Pokemon Ranger,2006.0,Role-Playing
Mario & Luigi: Superstar Saga,2003.0,Role-Playing
Star Wars: Rogue Squadron,1998.0,Simulation
Tennis,1984.0,Sports
The Sims: House Party,2001.0,Simulation
Your Shape featuring Jenny McCarthy,2009.0,Sports
Syphon Filter 2,2000.0,Shooter
Tom Clancy's Rainbow Six: Siege,2015.0,Shooter
Volleyball,1987.0,Sports
Call of Duty: Roads to Victory,2007.0,Shooter
Super Mario RPG: Legend of the Seven Stars,1996.0,Role-Playing
Mahjong,1983.0,Misc
R.C. Pro-Am,1988.0,Racing
SimCity 2000,1992.0,Simulation
Demon Attack,1981.0,Shooter
Dance Dance Revolution Extreme,2004.0,Simulation
