,Name,Year,Genre,Global_Sales
37,Animal Crossing: Wild World,2005.0,Simulation,12.27
38,Mario Kart 7,2011.0,Racing,12.21
39,Halo 3,2007.0,Shooter,12.14
40,Pokemon HeartGold/Pokemon SoulSilver,2009.0,Action,11.9
41,Super Mario 64,1996.0,Platform,22.310000000000002
42,Gran Turismo 4,2004.0,Racing,11.66
43,Super Mario Galaxy,2007.0,Platform,11.52
44,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Role-Playing,11.33
45,Super Mario Land 2: 6 Golden Coins,1992.0,Adventure,11.18
46,Grand Theft Auto IV,2008.0,Action,22.47
47,Gran Turismo,1997.0,Racing,10.95
48,Super Mario 3D Land,2011.0,Platform,10.79
49,Gran Turismo 5,2010.0,Racing,10.77
50,Super Mario All-Stars,1993.0,Platform,10.55
51,Pokemon FireRed/Pokemon LeafGreen,2004.0,Role-Playing,10.49
52,Just Dance 3,2011.0,Misc,12.92
53,Call of Duty: Ghosts,2013.0,Shooter,27.38
54,Halo: Reach,2010.0,Shooter,9.88
55,Mario Kart 64,1996.0,Racing,9.87
56,New Super Mario Bros. 2,2012.0,Platform,9.82
57,Halo 4,2012.0,Shooter,9.76
58,Final Fantasy VII,1997.0,Role-Playing,9.72
59,Just Dance 2,2010.0,Misc,9.52
60,Gran Turismo 2,1999.0,Racing,9.49
61,Call of Duty 4: Modern Warfare,2007.0,Shooter,18.25
62,Donkey Kong Country,1994.0,Platform,13.530000000000001
63,Minecraft,2013.0,Misc,23.73
64,Animal Crossing: New Leaf,2012.0,Simulation,9.09
65,Mario Party DS,2007.0,Misc,9.02
66,The Elder Scrolls V: Skyrim,2011.0,Role-Playing,19.28
67,Super Mario Kart,1992.0,Racing,8.76
68,FIFA 16,2015.0,Sports,16.44
69,Wii Party,2010.0,Misc,8.49
70,Halo 2,2004.0,Shooter,8.59
71,Mario Party 8,2007.0,Misc,8.42
72,Pokemon Black 2/Pokemon White 2,2012.0,Role-Playing,8.33
73,FIFA Soccer 13,2012.0,Action,16.16
74,The Sims 3,2009.0,Simulation,15.45
75,GoldenEye 007,1997.0,Shooter,8.09
76,Mario & Sonic at the Olympic Games,2007.0,Sports,13.2
77,Final Fantasy X,2001.0,Role-Playing,8.05
78,Final Fantasy VIII,1999.0,Role-Playing,7.86
79,Pokémon Platinum Version,2008.0,Role-Playing,7.84
80,Pac-Man,1982.0,Puzzle,9.03
81,Grand Theft Auto: Liberty City Stories,2005.0,Action,11.26
82,Super Mario Galaxy 2,2010.0,Platform,7.69
83,Star Wars Battlefront (2015),2015.0,Shooter,11.7
84,Call of Duty: Advanced Warfare,2014.0,Shooter,21.9
85,The Legend of Zelda: Ocarina of Time,1998.0,Action,11.809999999999999
86,Crash Bandicoot 2: Cortex Strikes Back,1997.0,Platform,7.58
87,Super Mario Bros. 2,1988.0,Platform,7.46
88,Super Smash Bros. for Wii U and 3DS,2014.0,Fighting,12.469999999999999
89,Call of Duty: World at War,2008.0,Shooter,15.87
90,Battlefield 3,2011.0,Shooter,17.36
91,The Legend of Zelda: Twilight Princess,2006.0,Action,8.9
92,Just Dance,2009.0,Misc,7.27
93,Need for Speed Underground,2003.0,Racing,10.46
94,Tekken 3,1998.0,Fighting,7.16
95,Crash Bandicoot 3: Warped,1998.0,Platform,7.13
96,Super Smash Bros. Melee,2001.0,Fighting,7.07
97,Mario Kart 8,2014.0,Racing,6.96
98,Fallout 4,2015.0,Role-Playing,12.28
99,Mario Kart: Double Dash!!,2003.0,Racing,6.95
100,Just Dance 4,2012.0,Misc,8.93
101,FIFA 14,2013.0,Sports,17.14
102,Need for Speed Underground 2,2004.0,Racing,10.97
103,Medal of Honor: Frontline,2002.0,Shooter,8.91
104,Uncharted 3: Drake's Deception,2011.0,Action,6.83
105,Crash Bandicoot,1996.0,Platform,6.82
106,Zumba Fitness,2010.0,Sports,9.79
107,Gears of War 2,2008.0,Shooter,6.76
108,Uncharted 2: Among Thieves,2009.0,Action,6.73
109,FIFA 12,2011.0,Sports,13.15
110,Big Brain Academy,2005.0,Misc,6.67
111,Red Dead Redemption,2010.0,Action,12.94
112,FIFA 15,2014.0,Sports,19.02
113,Donkey Kong Country Returns,2010.0,Platform,8.46
114,The Legend of Zelda,1986.0,Action,6.51
115,Assassin's Creed III,2012.0,Action,13.1
116,Halo: Combat Evolved,2001.0,Shooter,6.47
117,Pokémon Emerald Version,2004.0,Role-Playing,6.41
118,Kingdom Hearts,2002.0,Role-Playing,8.15
119,Pokémon Crystal Version,2000.0,Role-Playing,6.39
120,Halo 3: ODST,2009.0,Shooter,6.36
121,Super Mario Sunshine,2002.0,Platform,6.31
122,Street Fighter II: The World Warrior,1992.0,Fighting,6.3
123,World of Warcraft,2004.0,Role-Playing,6.28
124,Driver,1999.0,Action,6.27
125,Kinect Sports,2010.0,Sports,6.24
126,Gears of War 3,2011.0,Shooter,6.24
127,Gears of War,2006.0,Shooter,6.13
128,Metal Gear Solid 2: Sons of Liberty,2001.0,Action,6.05
129,Sonic the Hedgehog 2,1992.0,Platform,6.03
130,Metal Gear Solid 4: Guns of the Patriots,2008.0,Action,6.03
131,Metal Gear Solid,1998.0,Action,6.1000000000000005
132,The Last of Us,2013.0,Action,10.54
133,Final Fantasy XII,2006.0,Role-Playing,5.95
134,LittleBigPlanet,2008.0,Platform,8.5
135,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing,5.84
136,LEGO Star Wars: The Complete Saga,2007.0,Action,15.75
137,Resident Evil 2,1998.0,Action,6.44
138,Tekken 2,1996.0,Fighting,5.74
139,Cooking Mama,2006.0,Simulation,5.72
140,Destiny,2014.0,Shooter,12.61
141,Assassin's Creed II,2009.0,Action,11.41
142,Super Smash Bros.,1999.0,Fighting,5.55
143,Assassin's Creed,2007.0,Adventure,11.3
144,Batman: Arkham City,2011.0,Action,11.2
145,Forza Motorsport 3,2009.0,Racing,5.51
146,Monster Hunter Freedom Unite,2008.0,Role-Playing,5.5
147,Super Mario Advance,2001.0,Platform,5.49
148,Mario Kart: Super Circuit,2001.0,Racing,5.47
149,Pokemon Stadium,1999.0,Strategy,5.45
150,Crash Bandicoot: The Wrath of Cortex,2001.0,Platform,7.24
151,Final Fantasy XIII,2009.0,Role-Playing,7.53
152,Dr. Mario,1989.0,Puzzle,10.19
153,Pokemon Pinball,1999.0,Misc,5.31
154,Final Fantasy IX,2000.0,Role-Playing,5.3
155,Final Fantasy X-2,2003.0,Role-Playing,5.29
156,Donkey Kong 64,1999.0,Platform,5.27
157,Professor Layton and the Curious Village,2007.0,Puzzle,5.26
158,Tomb Raider II,1997.0,Action,7.53
159,Madden NFL 2004,,Sports,7.140000000000001
160,Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing,6.07
161,Diablo III,2012.0,Role-Playing,11.08
162,New Super Mario Bros. U,2012.0,Platform,5.19
163,Super Mario Land 3: Wario Land,1994.0,Platform,5.19
164,The Legend of Zelda: Phantom Hourglass,2007.0,Action,5.17
165,Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform,5.15
166,Tomodachi Life,2013.0,Simulation,5.15
167,Medal of Honor: Rising Sun,2003.0,Shooter,6.72
168,Kirby's Dream Land,1992.0,Platform,5.13
169,Fable III,2010.0,Role-Playing,5.45
170,Microsoft Flight Simulator,1996.0,Simulation,5.12
171,Guitar Hero II,2006.0,Misc,7.32
172,Resident Evil 5,2009.0,Action,8.69
173,Grand Theft Auto: Vice City Stories,2006.0,Action,6.05
174,FIFA Soccer 11,2010.0,Sports,12.56
175,Resident Evil,1996.0,Action,5.34
176,Tony Hawk's Pro Skater,1999.0,Sports,8.459999999999999
177,Warzone 2100,1999.0,Strategy,5.01
178,Spyro the Dragon,1998.0,Platform,5.0
179,Link's Crossbow Training,2007.0,Shooter,5.0
180,Guitar Hero III: Legends of Rock,2007.0,Misc,16.400000000000002
181,Fallout 3,2008.0,Role-Playing,9.959999999999999
182,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,Role-Playing,4.96
183,Uncharted: Drake's Fortune,2007.0,Action,4.94
184,Madden NFL 06,2005.0,Sports,9.03
185,Diddy Kong Racing,1997.0,Racing,4.88
186,Monster Hunter Freedom 3,2010.0,Role-Playing,4.87
187,God of War III,2010.0,Action,5.47
188,StarCraft II: Wings of Liberty,2010.0,Strategy,4.83
189,Crash Team Racing,1999.0,Racing,4.79
190,FIFA 17,2016.0,Sports,6.909999999999999
191,Driver 2,2000.0,Action,4.73
192,The Simpsons: Hit & Run,2003.0,Racing,7.04
193,Tony Hawk's Pro Skater 2,2000.0,Sports,6.619999999999999
194,Animal Crossing: City Folk,2008.0,Simulation,4.68
195,The Lord of the Rings: The Two Towers,2002.0,Action,6.65
196,Forza Motorsport 4,2011.0,Racing,4.64
197,Tomb Raider,1996.0,Action,5.66
198,The Legend of Zelda: A Link to the Past,1991.0,Action,7.3100000000000005
199,The Legend of Zelda: The Wind Waker,2002.0,Action,6.369999999999999
200,Mario & Sonic at the Olympic Winter Games,2009.0,Sports,8.1
201,Luigi's Mansion: Dark Moon,2013.0,Action,4.58
202,Splatoon,2015.0,Shooter,4.57
203,Madden NFL 2005,2004.0,Sports,7.6000000000000005
204,Pitfall!,1981.0,Platform,4.5
205,Madden NFL 07,2006.0,Sports,10.030000000000001
206,Spider-Man: The Movie,2002.0,Action,8.4
207,Dragon Quest VII: Warriors of Eden,2000.0,Role-Playing,5.89
208,Uncharted: The Nathan Drake Collection,2015.0,Action,4.47
209,God of War,2005.0,Action,4.45
210,Nintendo Land,2012.0,Misc,4.44
211,Michael Jackson: The Experience,2010.0,Misc,6.37
212,Tony Hawk's Pro Skater 3,2001.0,Sports,8.05
213,Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports,5.529999999999999
214,The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,7.77
215,Zelda II: The Adventure of Link,1987.0,Adventure,4.38
216,Need for Speed: Most Wanted,2005.0,Racing,14.08
217,Resistance: Fall of Man,2006.0,Shooter,4.35
218,Sonic the Hedgehog,1991.0,Platform,7.05
219,Kingdom Hearts II,2005.0,Role-Playing,5.65
220,Asteroids,1980.0,Shooter,5.459999999999999
221,Fable II,2008.0,Role-Playing,4.31
222,Halo 5: Guardians,2015.0,Shooter,4.26
223,Super Mario 3D World,2013.0,Platform,4.25
224,Batman: Arkham Asylum,2009.0,Action,8.07
225,Assassin's Creed: Revelations,2011.0,Action,9.190000000000001
226,Namco Museum,2001.0,Misc,7.6000000000000005
227,Metal Gear Solid 3: Snake Eater,2004.0,Action,4.23
228,Daxter,2006.0,Platform,4.22
229,Warcraft II: Tides of Darkness,1995.0,Strategy,4.21
230,FIFA Soccer 06,2005.0,Sports,5.13
231,EyeToy Play,2003.0,Misc,4.2
232,Uncharted 4: A Thief's End,2016.0,Shooter,4.2
233,Gran Turismo 5 Prologue,2007.0,Racing,4.2
234,Street Fighter IV,2009.0,Fighting,7.2700000000000005
235,Teenage Mutant Ninja Turtles,1989.0,Action,6.67
236,Excitebike,1984.0,Racing,4.16
237,Frogger,1997.0,Action,6.36
238,Madden NFL 2003,2002.0,Sports,5.89
239,Watch Dogs,2014.0,Action,9.49
240,Half-Life,1997.0,Shooter,4.72
241,Super Mario World 2: Yoshi's Island,1995.0,Platform,7.03
242,FIFA Soccer 07,2006.0,Sports,6.380000000000001
243,The Legend of Zelda: Skyward Sword,2011.0,Action,4.1
244,Street Fighter II Turbo,1992.0,Fighting,4.1
245,Carnival Games,2007.0,Misc,6.1499999999999995
246,World of Warcraft: The Burning Crusade,2007.0,Role-Playing,4.09
247,Fallout: New Vegas,2010.0,Role-Playing,8.41
248,God of War II,2007.0,Action,4.07
249,Forza Motorsport 2,2007.0,Racing,4.06
250,World Soccer Winning Eleven 9,2005.0,Sports,4.5
251,Namco Museum Vol.3,1996.0,Misc,4.05
252,Tekken Tag Tournament,2000.0,Fighting,4.05
253,Far Cry 4,2014.0,Shooter,8.68
254,Star Fox 64,1997.0,Shooter,4.03
255,Golf,1984.0,Sports,6.13
256,Professor Layton and the Diabolical Box,2007.0,Puzzle,4.0
257,Left 4 Dead 2,2009.0,Shooter,4.36
258,Namco Museum: 50th Anniversary,2005.0,Misc,4.57
259,EA Sports Active,2009.0,Sports,3.92
260,Assassin's Creed: Unity,2014.0,Action,7.93
261,Donkey Kong Land,1994.0,Platform,3.91
262,Tony Hawk's Underground,2003.0,Sports,6.47
263,Assassin's Creed IV: Black Flag,2013.0,Action,13.16
264,Monster Hunter 4 Ultimate,2014.0,Role-Playing,3.89
265,MotorStorm,2006.0,Racing,3.88
266,Tekken 5,2005.0,Fighting,3.87
267,Dragon Warrior III,1988.0,Role-Playing,4.68
268,Sports Champions,2010.0,Sports,3.87
269,NBA 2K16,2015.0,Sports,8.03
270,World Soccer Winning Eleven 8 International,2004.0,Sports,3.94
271,Flash Focus: Vision Training in Minutes a Day,2007.0,Misc,3.84
272,Namco Museum Vol.1,1995.0,Misc,3.84
273,The Legend of Zelda: Link's Awakening,1992.0,Action,3.83
274,Mario & Luigi: Bowser's Inside Story,2009.0,Role-Playing,3.83
275,Big Brain Academy: Wii Degree,2007.0,Misc,3.82
276,Nintendogs + cats,2011.0,Simulation,3.81
277,Batman: Arkham Knight,2015.0,Action,5.37
278,Mario & Sonic at the London 2012 Olympic Games,2011.0,Sports,4.97
279,LEGO Indiana Jones: The Original Adventures,2008.0,Action,12.05
280,Resident Evil Director's Cut,1996.0,Action,3.81
281,Ratchet & Clank: Size Matters,2007.0,Platform,4.06
282,Just Dance 2014,2013.0,Misc,6.58
283,The Sims: Unleashed,2002.0,Simulation,3.76
284,Super Paper Mario,2007.0,Platform,3.76
285,Harry Potter and the Sorcerer's Stone,2001.0,Action,7.64
286,The Witcher 3: Wild Hunt,2015.0,Role-Playing,5.64
287,Resident Evil 3: Nemesis,1999.0,Action,3.8000000000000003
288,Spyro: Year of the Dragon,2000.0,Platform,3.71
289,FIFA Soccer 2005,2004.0,Sports,4.890000000000001
290,Pokémon Trading Card Game,1998.0,Strategy,3.7
291,Battlefield 4,2013.0,Shooter,14.03
292,MySims,2007.0,Simulation,5.3999999999999995
293,Friend Collection,2009.0,Misc,3.67
294,Tony Hawk's Pro Skater 4,2002.0,Sports,5.75
295,Midnight Club 3: DUB Edition,2005.0,Racing,4.4
296,Banjo-Kazooie,1998.0,Platform,3.6599999999999997
297,SOCOM: U.S. Navy SEALs,2002.0,Shooter,3.65
298,Guitar Hero: World Tour,2008.0,Misc,10.08
299,Gran Turismo 6,2013.0,Racing,3.64
300,Jak and Daxter: The Precursor Legacy,2001.0,Platform,3.64
301,Pokemon Snap,1999.0,Simulation,3.63
302,FIFA Soccer 10,2009.0,Sports,10.74
303,Pro Evolution Soccer 2008,2007.0,Sports,8.47
304,Resident Evil 4,2005.0,Action,7.6
305,Tom Clancy's The Division,2016.0,Shooter,5.989999999999999
306,Star Wars: Battlefront,2004.0,Shooter,5.56
307,Doom II: Hell on Earth,1994.0,Shooter,3.65
308,The Simpsons: Road Rage,2001.0,Racing,6.09
309,Cooking Mama 2: Dinner With Friends,2007.0,Simulation,3.61
310,Luigi's Mansion,2001.0,Action,3.6
311,Star Wars: Battlefront II,2005.0,Shooter,6.67
312,WWF SmackDown!,2000.0,Fighting,3.58
313,Croc: Legend of the Gobbos,1997.0,Platform,3.56
314,The Getaway,2002.0,Action,3.54
315,Tomb Raider III: Adventures of Lara Croft,1997.0,Action,4.16
316,James Bond 007: Agent Under Fire,2001.0,Shooter,5.1499999999999995
317,LEGO Star Wars: The Video Game,2005.0,Action,7.26
318,Rugrats in Paris: The Movie,2000.0,Action,4.02
319,Spyro 2: Ripto's Rage!,1999.0,Platform,3.52
320,Left 4 Dead,2008.0,Shooter,3.54
321,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,Platform,3.51
322,Assassin's Creed: Brotherhood,2010.0,Action,6.93
323,Kung Fu,1985.0,Action,3.5
324,Clubhouse Games,2006.0,Misc,3.5
325,FIFA Soccer 2004,,Sports,4.4
326,Battlefield: Bad Company 2,2010.0,Shooter,7.16
327,Guitar Hero: On Tour,2008.0,Misc,3.48
328,Far Cry 3,2012.0,Shooter,7.470000000000001
329,Monster Hunter 4,2013.0,Role-Playing,3.44
330,Borderlands,2009.0,Shooter,5.7299999999999995
331,Tekken 4,2002.0,Fighting,3.44
332,LittleBigPlanet 2,2011.0,Platform,3.42
333,Grand Theft Auto 2,1998.0,Action,3.42
334,Final Fantasy III,1994.0,Role-Playing,7.05
335,Spider-Man 2,2004.0,Action,7.640000000000001
336,F-1 Race,1990.0,Racing,3.41
337,FIFA Soccer 2003,2002.0,Sports,4.16
338,Crash Bash,2000.0,Misc,3.39
339,LEGO Batman: The Videogame,2008.0,Action,13.67
340,Metal Gear Solid V: The Phantom Pain,2015.0,Action,5.08
341,The Legend of Zelda: Spirit Tracks,2009.0,Action,3.38
342,WWF War Zone,1998.0,Fighting,4.6899999999999995
343,The Legend of Zelda: Majora's Mask,2000.0,Action,3.36
344,Professor Layton and the Unwound Future,2008.0,Puzzle,3.36
345,Rugrats: Search For Reptar,1998.0,Adventure,3.34
346,English Training: Have Fun Improving Your Skills!,2006.0,Misc,3.33
347,James Bond 007: Nightfire,2002.0,Shooter,5.0600000000000005
348,Ratchet & Clank,2002.0,Platform,3.33
349,Mario Party 9,2012.0,Misc,3.32
350,Star Wars Episode III: Revenge of the Sith,2005.0,Action,5.59
351,Max Payne,2001.0,Shooter,4.58
352,The Lord of the Rings: The Return of the King,2003.0,Action,5.67
353,Assassin's Creed Syndicate,2015.0,Action,4.76
354,True Crime: Streets of LA,2003.0,Action,5.21
355,Wii Music,2008.0,Misc,3.27
356,Gran Turismo (PSP),2009.0,Racing,3.27
357,Monster Hunter X,2015.0,Action,3.26
358,Tekken,1995.0,Fighting,3.24
359,L.A. Noire,2011.0,Adventure,5.95
360,Madden NFL 16,2015.0,Sports,7.42
361,Yokai Watch 2 Ganso/Honke,2014.0,Role-Playing,3.22
362,007: Tomorrow Never Dies,1999.0,Shooter,3.21
363,Baseball,1983.0,Sports,4.8100000000000005
364,Killer Instinct,1995.0,Fighting,3.2
365,WWF SmackDown! 2: Know Your Role,2000.0,Fighting,3.2
366,Crisis Core: Final Fantasy VII,2007.0,Role-Playing,3.19
367,God of War: Chains of Olympus,2008.0,Action,3.19
368,Dragon Quest VI: Maboroshi no Daichi,1995.0,Role-Playing,3.19
369,Dance Central,2010.0,Misc,3.19
370,Enter the Matrix,2003.0,Action,4.83
371,Super Mario Maker,2015.0,Platform,3.18
372,Rhythm Heaven,2008.0,Misc,4.07
373,Ace Combat 04: Shattered Skies,2001.0,Simulation,3.17
374,Club Penguin: Elite Penguin Force,2008.0,Adventure,3.16
375,Animal Crossing,2001.0,Simulation,3.15
376,Sonic Rush,2005.0,Platform,3.15
377,Resident Evil 6,2012.0,Shooter,5.28
378,Halo: The Master Chief Collection,2014.0,Shooter,3.15
379,FIFA Soccer 08,2007.0,Sports,9.49
380,Spider-Man,2000.0,Action,4.59
381,Need for Speed III: Hot Pursuit,1998.0,Racing,3.12
382,Star Wars Episode I Racer,1999.0,Racing,3.12
383,Personal Trainer: Cooking,2006.0,Misc,3.12
384,Dragon Warrior IV,1990.0,Role-Playing,3.12
385,Heavy Rain,2010.0,Adventure,3.12
386,Mass Effect 2,2010.0,Role-Playing,4.99
387,Dragon Ball Z: Budokai,2002.0,Fighting,3.78
388,Madden NFL 2002,2001.0,Sports,6.41
389,World Class Track Meet,1986.0,Sports,3.08
390,Borderlands 2,2012.0,Shooter,7.109999999999999
391,The Legend of Zelda: A Link Between Worlds,2013.0,Action,3.07
392,Donkey Kong,1994.0,Platform,5.66
393,The Sims: Vacation,2002.0,Simulation,3.07
394,Mass Effect 3,2012.0,Role-Playing,5.779999999999999
395,Kung Fu Panda,2008.0,Action,6.42
396,Epic Mickey,2010.0,Platform,3.04
397,Saints Row 2,2008.0,Action,4.76
398,Rayman,1995.0,Platform,3.03
399,Killzone 2,2009.0,Shooter,3.02
400,Tom Clancy's Splinter Cell,2002.0,Action,6.0
401,Mike Tyson's Punch-Out!!,1987.0,Fighting,3.02
402,WWE SmackDown! Shut Your Mouth,2002.0,Sports,3.02
403,Gears of War: Ultimate Edition,2015.0,Shooter,3.0
404,NBA 2K13,2012.0,Sports,6.1
405,Dragon Ball Z: Budokai Tenkaichi 3,2007.0,Fighting,4.04
406,wwe Smackdown vs. Raw 2006,,Fighting,3.0
407,Middle-Earth: Shadow of Mordor,2014.0,Action,5.8500000000000005
408,Star Fox,1993.0,Shooter,2.99
409,The Sims: Livin Large,2000.0,Misc,2.99
410,World Soccer Winning Eleven 6 International,2002.0,Sports,2.99
411,Devil May Cry,2001.0,Action,2.99
412,Animal Crossing: Happy Home Designer,2015.0,Simulation,2.98
413,The Sims 4,2014.0,Simulation,2.97
414,Star Wars: The Old Republic,2011.0,Role-Playing,2.97
415,Sonic Heroes,2003.0,Platform,5.46
416,Kirby Super Star Ultra,2008.0,Platform,2.96
417,Hitman 2: Silent Assassin,2002.0,Action,4.28
418,Wave Race 64,1996.0,Racing,2.94
419,SOCOM II: U.S. Navy SEALs,2003.0,Shooter,2.94
420,WWE SmackDown! vs. RAW 2006,2005.0,Fighting,3.34
421,inFAMOUS,2009.0,Action,2.94
422,Pac-Man Collection,2001.0,Puzzle,2.94
423,Mass Effect,2007.0,Role-Playing,3.6100000000000003
424,WarioWare: Smooth Moves,2006.0,Puzzle,2.92
425,Cooking Mama: Cook Off,2007.0,Simulation,2.91
426,Titanfall,2014.0,Shooter,4.859999999999999
427,Sonic Mega Collection Plus,2004.0,Misc,3.81
428,Sega Superstars Tennis,2008.0,Sports,5.49
429,World Soccer Winning Eleven 7 International,2003.0,Sports,2.9
430,Hot Shots Golf 3,2001.0,Sports,2.89
431,Call of Duty: Finest Hour,2004.0,Shooter,4.5
432,Zumba Fitness 2,2011.0,Sports,2.88
433,Syphon Filter,1999.0,Shooter,2.88
434,Imagine: Babyz,2007.0,Simulation,2.88
435,Colin McRae Rally,1998.0,Racing,2.87
436,Madden NFL 13,2012.0,Sports,6.53
437,The Elder Scrolls III: Morrowind,2002.0,Role-Playing,2.86
438,Mortal Kombat,2011.0,Fighting,8.4
439,F-Zero,1990.0,Racing,2.85
440,Yoshi's Story,1997.0,Platform,2.85
441,Command & Conquer: Red Alert,1996.0,Strategy,3.2600000000000002
442,Skylanders: Spyro's Adventure,2011.0,Action,5.44
443,BioShock,2007.0,Shooter,4.69
444,Madden NFL 10,2009.0,Sports,7.57
445,Medal of Honor,2010.0,Shooter,8.61
446,WWE SmackDown! vs. Raw,2002.0,Fighting,2.83
447,Metroid Prime,2002.0,Shooter,2.82
448,Finding Nemo,2003.0,Action,6.46
449,Myst,1994.0,Adventure,3.06
450,Need for Speed: Hot Pursuit,2010.0,Racing,5.890000000000001
451,Imagine: Fashion Designer,2007.0,Simulation,2.94
452,WWE SmackDown! Here Comes the Pain,2003.0,Fighting,2.8
453,Star Wars: The Force Unleashed,2008.0,Action,10.23
454,Yoshi's Island DS,2006.0,Platform,2.8
455,Hot Shots Golf,1997.0,Sports,2.79
456,Killzone 3,2011.0,Shooter,2.79
457,A Bug's Life,1998.0,Platform,3.42
458,WWF SmackDown! Just Bring It,2001.0,Fighting,2.79
459,Dragon Quest V: Tenkuu no Hanayome,1992.0,Role-Playing,4.4399999999999995
460,Mortal Kombat Trilogy,1996.0,Fighting,3.75
461,NBA Street,2001.0,Sports,3.21
462,Professor Layton and the Last Specter,2009.0,Puzzle,2.79
463,Monster Hunter Tri,2011.0,Role-Playing,5.76
464,Jak II,2003.0,Platform,2.78
465,inFAMOUS: Second Son,2014.0,Action,2.78
466,Ratchet & Clank: Going Commando,2003.0,Platform,2.78
467,Tekken 6,2009.0,Fighting,4.41
468,The Sims,2003.0,Simulation,3.73
469,Sonic and the Secret Rings,2007.0,Platform,2.77
470,Saints Row: The Third,2011.0,Action,5.640000000000001
471,Missile Command,1980.0,Shooter,3.21
472,Mario Paint,1992.0,Misc,2.75
473,Pokémon Stadium 2,2000.0,Strategy,2.73
474,Metroid,1986.0,Action,2.73
475,Call of Duty 3,2006.0,Shooter,7.56
476,Onimusha: Warlords,2001.0,Action,2.7
477,Mortal Kombat X,2015.0,Fighting,4.1000000000000005
478,Mario Party,1998.0,Misc,2.7
479,Madden NFL 12,2011.0,Sports,5.62
480,LEGO Star Wars II: The Original Trilogy,2006.0,Action,7.35
481,Madden NFL 11,2010.0,Sports,6.68
482,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010.0,Puzzle,2.69
483,Skate 3,2010.0,Sports,4.76
484,Burnout 3: Takedown,2004.0,Racing,3.99
485,Yokai Watch 2 Shinuchi,2014.0,Role-Playing,2.68
486,Need for Speed: Shift,2009.0,Racing,5.42
487,Final Fantasy XIII-2,2011.0,Role-Playing,3.42
488,Call Of Duty 2: Big Red One,2005.0,Shooter,4.12
489,Fable,2004.0,Role-Playing,3.14
490,Hannah Montana,2006.0,Action,2.65
491,Skylanders Giants,2012.0,Action,5.59
492,Medal of Honor Heroes,2006.0,Shooter,2.65
493,Super Mario Bros.: The Lost Levels,1986.0,Platform,2.65
494,Star Wars: Shadows of the Empire,1996.0,Action,2.65
495,Midnight Club: Street Racing,2000.0,Racing,3.11
496,Pac-Man: Adventures in Time,2006.0,Fighting,2.63
497,Halo Wars,2009.0,Strategy,2.63
498,God of War Collection,2009.0,Action,2.96
499,ESPN NFL 2K5,2004.0,Sports,4.25
500,Mario Strikers Charged,2007.0,Sports,2.62
