Name,Year,Genre,Global_Sales,Total
Mario Kart: Double Dash!!,2003.0,Racing,6.95,417.0
Just Dance 4,2012.0,Misc,8.93,535.8
FIFA 14,2013.0,Sports,17.14,1028.4
Need for Speed Underground 2,2004.0,Racing,10.97,658.2
Medal of Honor: Frontline,2002.0,Shooter,8.91,534.6
Uncharted 3: Drake's Deception,2011.0,Action,6.83,409.8
Crash Bandicoot,1996.0,Platform,6.82,409.20000000000005
Zumba Fitness,2010.0,Sports,9.79,587.4
Gears of War 2,2008.0,Shooter,6.76,405.59999999999997
Uncharted 2: Among Thieves,2009.0,Action,6.73,403.8
FIFA 12,2011.0,Sports,13.15,789.0
Big Brain Academy,2005.0,Misc,6.67,400.2
Red Dead Redemption,2010.0,Action,12.94,776.4
FIFA 15,2014.0,Sports,19.02,1141.2
Donkey Kong Country Returns,2010.0,Platform,8.46,507.6
The Legend of Zelda,1986.0,Action,6.51,390.59999999999997
Assassin's Creed III,2012.0,Action,13.1,786.0
Halo: Combat Evolved,2001.0,Shooter,6.47,388.2
Pokémon Emerald Version,2004.0,Role-Playing,6.41,384.6
Kingdom Hearts,2002.0,Role-Playing,8.15,489.0
Pokémon Crystal Version,2000.0,Role-Playing,6.39,383.4
Halo 3: ODST,2009.0,Shooter,6.36,381.6
Super Mario Sunshine,2002.0,Platform,6.31,378.59999999999997
Street Fighter II: The World Warrior,1992.0,Fighting,6.3,378.0
World of Warcraft,2004.0,Role-Playing,6.28,376.8
Driver,1999.0,Action,6.27,376.2
Kinect Sports,2010.0,Sports,6.24,374.40000000000003
Gears of War 3,2011.0,Shooter,6.24,374.40000000000003
Gears of War,2006.0,Shooter,6.13,367.8
Metal Gear Solid 2: Sons of Liberty,2001.0,Action,6.05,363.0
Sonic the Hedgehog 2,1992.0,Platform,6.03,361.8
Metal Gear Solid 4: Guns of the Patriots,2008.0,Action,6.03,361.8
Metal Gear Solid,1998.0,Action,6.1000000000000005,366.00000000000006
The Last of Us,2013.0,Action,10.54,632.4
Final Fantasy XII,2006.0,Role-Playing,5.95,357.0
LittleBigPlanet,2008.0,Platform,8.5,510.0
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing,5.84,350.4
LEGO Star Wars: The Complete Saga,2007.0,Action,15.75,945.0
Resident Evil 2,1998.0,Action,6.44,386.40000000000003
Tekken 2,1996.0,Fighting,5.74,344.40000000000003
Cooking Mama,2006.0,Simulation,5.72,343.2
Destiny,2014.0,Shooter,12.61,756.5999999999999
Assassin's Creed II,2009.0,Action,11.41,684.6
Super Smash Bros.,1999.0,Fighting,5.55,333.0
Assassin's Creed,2007.0,Adventure,11.3,678.0
Batman: Arkham City,2011.0,Action,11.2,672.0
Forza Motorsport 3,2009.0,Racing,5.51,330.59999999999997
Monster Hunter Freedom Unite,2008.0,Role-Playing,5.5,330.0
Super Mario Advance,2001.0,Platform,5.49,329.40000000000003
Mario Kart: Super Circuit,2001.0,Racing,5.47,328.2
Pokemon Stadium,1999.0,Strategy,5.45,327.0
Crash Bandicoot: The Wrath of Cortex,2001.0,Platform,7.24,434.40000000000003
Final Fantasy XIII,2009.0,Role-Playing,7.53,451.8
Dr. Mario,1989.0,Puzzle,10.19,611.4
Pokemon Pinball,1999.0,Misc,5.31,318.59999999999997
Final Fantasy IX,2000.0,Role-Playing,5.3,318.0
Final Fantasy X-2,2003.0,Role-Playing,5.29,317.4
Donkey Kong 64,1999.0,Platform,5.27,316.2
Professor Layton and the Curious Village,2007.0,Puzzle,5.26,315.59999999999997
Tomb Raider II,1997.0,Action,7.53,451.8
Madden NFL 2004,,Sports,7.140000000000001,428.40000000000003
Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing,6.07,364.20000000000005
Diablo III,2012.0,Role-Playing,11.08,664.8
New Super Mario Bros. U,2012.0,Platform,5.19,311.40000000000003
Super Mario Land 3: Wario Land,1994.0,Platform,5.19,311.40000000000003
The Legend of Zelda: Phantom Hourglass,2007.0,Action,5.17,310.2
Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform,5.15,309.0
Tomodachi Life,2013.0,Simulation,5.15,309.0
Medal of Honor: Rising Sun,2003.0,Shooter,6.72,403.2
Kirby's Dream Land,1992.0,Platform,5.13,307.8
Fable III,2010.0,Role-Playing,5.45,327.0
Microsoft Flight Simulator,1996.0,Simulation,5.12,307.2
Guitar Hero II,2006.0,Misc,7.32,439.20000000000005
Resident Evil 5,2009.0,Action,8.69,521.4
Grand Theft Auto: Vice City Stories,2006.0,Action,6.05,363.0
FIFA Soccer 11,2010.0,Sports,12.56,753.6
Resident Evil,1996.0,Action,5.34,320.4
Tony Hawk's Pro Skater,1999.0,Sports,8.459999999999999,507.59999999999997
Warzone 2100,1999.0,Strategy,5.01,300.59999999999997
Spyro the Dragon,1998.0,Platform,5.0,300.0
Link's Crossbow Training,2007.0,Shooter,5.0,300.0
Guitar Hero III: Legends of Rock,2007.0,Misc,16.400000000000002,984.0000000000001
Fallout 3,2008.0,Role-Playing,9.959999999999999,597.5999999999999
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,Role-Playing,4.96,297.6
Uncharted: Drake's Fortune,2007.0,Action,4.94,296.40000000000003
Madden NFL 06,2005.0,Sports,9.03,541.8
Diddy Kong Racing,1997.0,Racing,4.88,292.8
Monster Hunter Freedom 3,2010.0,Role-Playing,4.87,292.2
God of War III,2010.0,Action,5.47,328.2
StarCraft II: Wings of Liberty,2010.0,Strategy,4.83,289.8
Crash Team Racing,1999.0,Racing,4.79,287.4
FIFA 17,2016.0,Sports,6.909999999999999,414.59999999999997
Driver 2,2000.0,Action,4.73,283.8
The Simpsons: Hit & Run,2003.0,Racing,7.04,422.4
Tony Hawk's Pro Skater 2,2000.0,Sports,6.619999999999999,397.19999999999993
Animal Crossing: City Folk,2008.0,Simulation,4.68,280.79999999999995
The Lord of the Rings: The Two Towers,2002.0,Action,6.65,399.0
Forza Motorsport 4,2011.0,Racing,4.64,278.4
Tomb Raider,1996.0,Action,5.66,339.6
The Legend of Zelda: A Link to the Past,1991.0,Action,7.3100000000000005,438.6
The Legend of Zelda: The Wind Waker,2002.0,Action,6.369999999999999,382.19999999999993
Mario & Sonic at the Olympic Winter Games,2009.0,Sports,8.1,486.0
Luigi's Mansion: Dark Moon,2013.0,Action,4.58,274.8
Splatoon,2015.0,Shooter,4.57,274.20000000000005
Madden NFL 2005,2004.0,Sports,7.6000000000000005,456.00000000000006
Pitfall!,1981.0,Platform,4.5,270.0
Madden NFL 07,2006.0,Sports,10.030000000000001,601.8000000000001
Spider-Man: The Movie,2002.0,Action,8.4,504.0
Dragon Quest VII: Warriors of Eden,2000.0,Role-Playing,5.89,353.4
Uncharted: The Nathan Drake Collection,2015.0,Action,4.47,268.2
God of War,2005.0,Action,4.45,267.0
Nintendo Land,2012.0,Misc,4.44,266.40000000000003
Michael Jackson: The Experience,2010.0,Misc,6.37,382.2
Tony Hawk's Pro Skater 3,2001.0,Sports,8.05,483.00000000000006
Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports,5.529999999999999,331.79999999999995
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,7.77,466.2
Zelda II: The Adventure of Link,1987.0,Adventure,4.38,262.8
Need for Speed: Most Wanted,2005.0,Racing,14.08,844.8
Resistance: Fall of Man,2006.0,Shooter,4.35,261.0
Sonic the Hedgehog,1991.0,Platform,7.05,423.0
Kingdom Hearts II,2005.0,Role-Playing,5.65,339.0
Asteroids,1980.0,Shooter,5.459999999999999,327.59999999999997
Fable II,2008.0,Role-Playing,4.31,258.59999999999997
Halo 5: Guardians,2015.0,Shooter,4.26,255.6
Super Mario 3D World,2013.0,Platform,4.25,255.0
Batman: Arkham Asylum,2009.0,Action,8.07,484.20000000000005
Assassin's Creed: Revelations,2011.0,Action,9.190000000000001,551.4000000000001
Namco Museum,2001.0,Misc,7.6000000000000005,456.00000000000006
Metal Gear Solid 3: Snake Eater,2004.0,Action,4.23,253.8
Daxter,2006.0,Platform,4.22,253.2
Warcraft II: Tides of Darkness,1995.0,Strategy,4.21,252.6
FIFA Soccer 06,2005.0,Sports,5.13,307.8
EyeToy Play,2003.0,Misc,4.2,252.0
Uncharted 4: A Thief's End,2016.0,Shooter,4.2,252.0
Gran Turismo 5 Prologue,2007.0,Racing,4.2,252.0
Street Fighter IV,2009.0,Fighting,7.2700000000000005,436.20000000000005
Teenage Mutant Ninja Turtles,1989.0,Action,6.67,400.2
Excitebike,1984.0,Racing,4.16,249.60000000000002
Frogger,1997.0,Action,6.36,381.6
Madden NFL 2003,2002.0,Sports,5.89,353.4
Watch Dogs,2014.0,Action,9.49,569.4
Half-Life,1997.0,Shooter,4.72,283.2
Super Mario World 2: Yoshi's Island,1995.0,Platform,7.03,421.8
FIFA Soccer 07,2006.0,Sports,6.380000000000001,382.80000000000007
The Legend of Zelda: Skyward Sword,2011.0,Action,4.1,245.99999999999997
Street Fighter II Turbo,1992.0,Fighting,4.1,245.99999999999997
Carnival Games,2007.0,Misc,6.1499999999999995,368.99999999999994
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,4.09,245.39999999999998
Fallout: New Vegas,2010.0,Role-Playing,8.41,504.6
God of War II,2007.0,Action,4.07,244.20000000000002
Forza Motorsport 2,2007.0,Racing,4.06,243.59999999999997
World Soccer Winning Eleven 9,2005.0,Sports,4.5,270.0
Namco Museum Vol.3,1996.0,Misc,4.05,243.0
Tekken Tag Tournament,2000.0,Fighting,4.05,243.0
Far Cry 4,2014.0,Shooter,8.68,520.8
Star Fox 64,1997.0,Shooter,4.03,241.8
Golf,1984.0,Sports,6.13,367.8
Professor Layton and the Diabolical Box,2007.0,Puzzle,4.0,240.0
Left 4 Dead 2,2009.0,Shooter,4.36,261.6
Namco Museum: 50th Anniversary,2005.0,Misc,4.57,274.20000000000005
EA Sports Active,2009.0,Sports,3.92,235.2
Assassin's Creed: Unity,2014.0,Action,7.93,475.79999999999995
Donkey Kong Land,1994.0,Platform,3.91,234.60000000000002
Tony Hawk's Underground,2003.0,Sports,6.47,388.2
Assassin's Creed IV: Black Flag,2013.0,Action,13.16,789.6
Monster Hunter 4 Ultimate,2014.0,Role-Playing,3.89,233.4
MotorStorm,2006.0,Racing,3.88,232.79999999999998
Tekken 5,2005.0,Fighting,3.87,232.20000000000002
Dragon Warrior III,1988.0,Role-Playing,4.68,280.79999999999995
Sports Champions,2010.0,Sports,3.87,232.20000000000002
NBA 2K16,2015.0,Sports,8.03,481.79999999999995
World Soccer Winning Eleven 8 International,2004.0,Sports,3.94,236.4
Flash Focus: Vision Training in Minutes a Day,2007.0,Misc,3.84,230.39999999999998
Namco Museum Vol.1,1995.0,Misc,3.84,230.39999999999998
The Legend of Zelda: Link's Awakening,1992.0,Action,3.83,229.8
Mario & Luigi: Bowser's Inside Story,2009.0,Role-Playing,3.83,229.8
Big Brain Academy: Wii Degree,2007.0,Misc,3.82,229.2
Nintendogs + cats,2011.0,Simulation,3.81,228.6
Batman: Arkham Knight,2015.0,Action,5.37,322.2
Mario & Sonic at the London 2012 Olympic Games,2011.0,Sports,4.97,298.2
LEGO Indiana Jones: The Original Adventures,2008.0,Action,12.05,723.0
Resident Evil Director's Cut,1996.0,Action,3.81,228.6
Ratchet & Clank: Size Matters,2007.0,Platform,4.06,243.59999999999997
Just Dance 2014,2013.0,Misc,6.58,394.8
The Sims: Unleashed,2002.0,Simulation,3.76,225.6
Super Paper Mario,2007.0,Platform,3.76,225.6
Harry Potter and the Sorcerer's Stone,2001.0,Action,7.64,458.4
The Witcher 3: Wild Hunt,2015.0,Role-Playing,5.64,338.4
Resident Evil 3: Nemesis,1999.0,Action,3.8000000000000003,228.00000000000003
Spyro: Year of the Dragon,2000.0,Platform,3.71,222.6
FIFA Soccer 2005,2004.0,Sports,4.890000000000001,293.40000000000003
Pokémon Trading Card Game,1998.0,Strategy,3.7,222.0
Battlefield 4,2013.0,Shooter,14.03,841.8
MySims,2007.0,Simulation,5.3999999999999995,323.99999999999994
Friend Collection,2009.0,Misc,3.67,220.2
Tony Hawk's Pro Skater 4,2002.0,Sports,5.75,345.0
Midnight Club 3: DUB Edition,2005.0,Racing,4.4,264.0
Banjo-Kazooie,1998.0,Platform,3.6599999999999997,219.6
SOCOM: U.S. Navy SEALs,2002.0,Shooter,3.65,219.0
Guitar Hero: World Tour,2008.0,Misc,10.08,604.8
Gran Turismo 6,2013.0,Racing,3.64,218.4
Jak and Daxter: The Precursor Legacy,2001.0,Platform,3.64,218.4
Pokemon Snap,1999.0,Simulation,3.63,217.79999999999998
FIFA Soccer 10,2009.0,Sports,10.74,644.4
Pro Evolution Soccer 2008,2007.0,Sports,8.47,508.20000000000005
Resident Evil 4,2005.0,Action,7.6,456.0
Tom Clancy's The Division,2016.0,Shooter,5.989999999999999,359.4
Star Wars: Battlefront,2004.0,Shooter,5.56,333.59999999999997
Doom II: Hell on Earth,1994.0,Shooter,3.65,219.0
The Simpsons: Road Rage,2001.0,Racing,6.09,365.4
Cooking Mama 2: Dinner With Friends,2007.0,Simulation,3.61,216.6
Luigi's Mansion,2001.0,Action,3.6,216.0
Star Wars: Battlefront II,2005.0,Shooter,6.67,400.2
WWF SmackDown!,2000.0,Fighting,3.58,214.8
Croc: Legend of the Gobbos,1997.0,Platform,3.56,213.6
The Getaway,2002.0,Action,3.54,212.4
Tomb Raider III: Adventures of Lara Croft,1997.0,Action,4.16,249.60000000000002
James Bond 007: Agent Under Fire,2001.0,Shooter,5.1499999999999995,308.99999999999994
LEGO Star Wars: The Video Game,2005.0,Action,7.26,435.59999999999997
Rugrats in Paris: The Movie,2000.0,Action,4.02,241.2
Spyro 2: Ripto's Rage!,1999.0,Platform,3.52,211.2
Left 4 Dead,2008.0,Shooter,3.54,212.4
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,Platform,3.51,210.6
Assassin's Creed: Brotherhood,2010.0,Action,6.93,415.79999999999995
Kung Fu,1985.0,Action,3.5,210.0
Clubhouse Games,2006.0,Misc,3.5,210.0
FIFA Soccer 2004,,Sports,4.4,264.0
Battlefield: Bad Company 2,2010.0,Shooter,7.16,429.6
Guitar Hero: On Tour,2008.0,Misc,3.48,208.8
Far Cry 3,2012.0,Shooter,7.470000000000001,448.20000000000005
Monster Hunter 4,2013.0,Role-Playing,3.44,206.4
Borderlands,2009.0,Shooter,5.7299999999999995,343.79999999999995
Tekken 4,2002.0,Fighting,3.44,206.4
LittleBigPlanet 2,2011.0,Platform,3.42,205.2
Grand Theft Auto 2,1998.0,Action,3.42,205.2
Final Fantasy III,1994.0,Role-Playing,7.05,423.0
Spider-Man 2,2004.0,Action,7.640000000000001,458.40000000000003
F-1 Race,1990.0,Racing,3.41,204.60000000000002
FIFA Soccer 2003,2002.0,Sports,4.16,249.60000000000002
Crash Bash,2000.0,Misc,3.39,203.4
LEGO Batman: The Videogame,2008.0,Action,13.67,820.2
Metal Gear Solid V: The Phantom Pain,2015.0,Action,5.08,304.8
The Legend of Zelda: Spirit Tracks,2009.0,Action,3.38,202.79999999999998
WWF War Zone,1998.0,Fighting,4.6899999999999995,281.4
The Legend of Zelda: Majora's Mask,2000.0,Action,3.36,201.6
Professor Layton and the Unwound Future,2008.0,Puzzle,3.36,201.6
Rugrats: Search For Reptar,1998.0,Adventure,3.34,200.39999999999998
English Training: Have Fun Improving Your Skills!,2006.0,Misc,3.33,199.8
James Bond 007: Nightfire,2002.0,Shooter,5.0600000000000005,303.6
Ratchet & Clank,2002.0,Platform,3.33,199.8
Mario Party 9,2012.0,Misc,3.32,199.2
Star Wars Episode III: Revenge of the Sith,2005.0,Action,5.59,335.4
Max Payne,2001.0,Shooter,4.58,274.8
The Lord of the Rings: The Return of the King,2003.0,Action,5.67,340.2
Assassin's Creed Syndicate,2015.0,Action,4.76,285.59999999999997
True Crime: Streets of LA,2003.0,Action,5.21,312.6
Wii Music,2008.0,Misc,3.27,196.2
Gran Turismo (PSP),2009.0,Racing,3.27,196.2
Monster Hunter X,2015.0,Action,3.26,195.6
Tekken,1995.0,Fighting,3.24,194.4
L.A. Noire,2011.0,Adventure,5.95,357.0
Madden NFL 16,2015.0,Sports,7.42,445.2
Yokai Watch 2 Ganso/Honke,2014.0,Role-Playing,3.22,193.20000000000002
007: Tomorrow Never Dies,1999.0,Shooter,3.21,192.6
Baseball,1983.0,Sports,4.8100000000000005,288.6
Killer Instinct,1995.0,Fighting,3.2,192.0
WWF SmackDown! 2: Know Your Role,2000.0,Fighting,3.2,192.0
Crisis Core: Final Fantasy VII,2007.0,Role-Playing,3.19,191.4
God of War: Chains of Olympus,2008.0,Action,3.19,191.4
Dragon Quest VI: Maboroshi no Daichi,1995.0,Role-Playing,3.19,191.4
Dance Central,2010.0,Misc,3.19,191.4
Enter the Matrix,2003.0,Action,4.83,289.8
Super Mario Maker,2015.0,Platform,3.18,190.8
Rhythm Heaven,2008.0,Misc,4.07,244.20000000000002
Ace Combat 04: Shattered Skies,2001.0,Simulation,3.17,190.2
Club Penguin: Elite Penguin Force,2008.0,Adventure,3.16,189.60000000000002
Animal Crossing,2001.0,Simulation,3.15,189.0
Sonic Rush,2005.0,Platform,3.15,189.0
Resident Evil 6,2012.0,Shooter,5.28,316.8
Halo: The Master Chief Collection,2014.0,Shooter,3.15,189.0
FIFA Soccer 08,2007.0,Sports,9.49,569.4
Spider-Man,2000.0,Action,4.59,275.4
Need for Speed III: Hot Pursuit,1998.0,Racing,3.12,187.20000000000002
Star Wars Episode I Racer,1999.0,Racing,3.12,187.20000000000002
Personal Trainer: Cooking,2006.0,Misc,3.12,187.20000000000002
Dragon Warrior IV,1990.0,Role-Playing,3.12,187.20000000000002
Heavy Rain,2010.0,Adventure,3.12,187.20000000000002
Mass Effect 2,2010.0,Role-Playing,4.99,299.40000000000003
Dragon Ball Z: Budokai,2002.0,Fighting,3.78,226.79999999999998
Madden NFL 2002,2001.0,Sports,6.41,384.6
World Class Track Meet,1986.0,Sports,3.08,184.8
Borderlands 2,2012.0,Shooter,7.109999999999999,426.59999999999997
The Legend of Zelda: A Link Between Worlds,2013.0,Action,3.07,184.2
Donkey Kong,1994.0,Platform,5.66,339.6
The Sims: Vacation,2002.0,Simulation,3.07,184.2
Mass Effect 3,2012.0,Role-Playing,5.779999999999999,346.79999999999995
Kung Fu Panda,2008.0,Action,6.42,385.2
Epic Mickey,2010.0,Platform,3.04,182.4
Saints Row 2,2008.0,Action,4.76,285.59999999999997
Rayman,1995.0,Platform,3.03,181.79999999999998
Killzone 2,2009.0,Shooter,3.02,181.2
Tom Clancy's Splinter Cell,2002.0,Action,6.0,360.0
Mike Tyson's Punch-Out!!,1987.0,Fighting,3.02,181.2
WWE SmackDown! Shut Your Mouth,2002.0,Sports,3.02,181.2
Gears of War: Ultimate Edition,2015.0,Shooter,3.0,180.0
NBA 2K13,2012.0,Sports,6.1,366.0
Dragon Ball Z: Budokai Tenkaichi 3,2007.0,Fighting,4.04,242.4
wwe Smackdown vs. Raw 2006,,Fighting,3.0,180.0
Middle-Earth: Shadow of Mordor,2014.0,Action,5.8500000000000005,351.00000000000006
Star Fox,1993.0,Shooter,2.99,179.4
The Sims: Livin Large,2000.0,Misc,2.99,179.4
World Soccer Winning Eleven 6 International,2002.0,Sports,2.99,179.4
Devil May Cry,2001.0,Action,2.99,179.4
Animal Crossing: Happy Home Designer,2015.0,Simulation,2.98,178.8
The Sims 4,2014.0,Simulation,2.97,178.20000000000002
Star Wars: The Old Republic,2011.0,Role-Playing,2.97,178.20000000000002
Sonic Heroes,2003.0,Platform,5.46,327.6
Kirby Super Star Ultra,2008.0,Platform,2.96,177.6
Hitman 2: Silent Assassin,2002.0,Action,4.28,256.8
Wave Race 64,1996.0,Racing,2.94,176.4
SOCOM II: U.S. Navy SEALs,2003.0,Shooter,2.94,176.4
WWE SmackDown! vs. RAW 2006,2005.0,Fighting,3.34,200.39999999999998
inFAMOUS,2009.0,Action,2.94,176.4
Pac-Man Collection,2001.0,Puzzle,2.94,176.4
Mass Effect,2007.0,Role-Playing,3.6100000000000003,216.60000000000002
WarioWare: Smooth Moves,2006.0,Puzzle,2.92,175.2
Cooking Mama: Cook Off,2007.0,Simulation,2.91,174.60000000000002
Titanfall,2014.0,Shooter,4.859999999999999,291.59999999999997
Sonic Mega Collection Plus,2004.0,Misc,3.81,228.6
Sega Superstars Tennis,2008.0,Sports,5.49,329.40000000000003
World Soccer Winning Eleven 7 International,2003.0,Sports,2.9,174.0
Hot Shots Golf 3,2001.0,Sports,2.89,173.4
Call of Duty: Finest Hour,2004.0,Shooter,4.5,270.0
Zumba Fitness 2,2011.0,Sports,2.88,172.79999999999998
Syphon Filter,1999.0,Shooter,2.88,172.79999999999998
Imagine: Babyz,2007.0,Simulation,2.88,172.79999999999998
Colin McRae Rally,1998.0,Racing,2.87,172.20000000000002
Madden NFL 13,2012.0,Sports,6.53,391.8
The Elder Scrolls III: Morrowind,2002.0,Role-Playing,2.86,171.6
Mortal Kombat,2011.0,Fighting,8.4,504.0
F-Zero,1990.0,Racing,2.85,171.0
Yoshi's Story,1997.0,Platform,2.85,171.0
Command & Conquer: Red Alert,1996.0,Strategy,3.2600000000000002,195.60000000000002
Skylanders: Spyro's Adventure,2011.0,Action,5.44,326.40000000000003
BioShock,2007.0,Shooter,4.69,281.40000000000003
Madden NFL 10,2009.0,Sports,7.57,454.20000000000005
Medal of Honor,2010.0,Shooter,8.61,516.5999999999999
