Game,Total,Twitch_Year
Danganronpa V3: Killing Harmony,28164231.013695,2017
Dark Souls,102561498.060063,2017
Dark Souls II,12724314.881292,2017
Dark Souls II: Scholar of the First Sin,10821909.760431,2017
Dark Souls III,1005581460.785349,2017
Dark and Light,59172783.16824,2017
Darkest Dungeon,717557575.763301,2017
Darkwood,21929099.05809,2017
Dauntless,75064668.151347,2017
DayZ,160273567.943706,2017
Dead Cells,43312957.142742,2017
Dead Space,940631.314329,2017
Dead by Daylight,2911901274.6746163,2017
Deceit,67394051.70098999,2017
Demon's Souls,626782.59483,2017
Destiny,5668534712.308419,2017
Destiny 2,12573968568.627962,2017
Detention,8092141.293851999,2017
Devil May Cry,1916007.182544,2017
Diablo II: Lord of Destruction,45001642.803012,2017
Diablo III,720855107.452998,2017
Die Young,565969.476891,2017
Digimon Story: Cyber Sleuth - Hacker's Memory,2558569.2464010003,2017
Digimon World: Next Order,551669.390748,2017
Disc Jam,1806251.825679,2017
Dishonored: Death of the Outsider,2177534.363634,2017
Divinity: Original Sin,2593189.225158,2017
Divinity: Original Sin II,322726684.41276896,2017
Dofus,29258919.038958,2017
Doki Doki Literature Club!,17138855.607971996,2017
Domina,11720876.079906002,2017
Don't Starve Together,7032331.970601,2017
Donkey Kong 64,3048706.3616100005,2017
Dota 2,385151130493.9749,2017
Dragon Ball FighterZ,3988910.975763,2017
Dragon Quest IV,16731134.048349002,2017
Dragon's Dogma: Dark Arisen,1013057.628912,2017
Dreadnought,567664.5282000001,2017
Dream Daddy: A Dad Dating Simulator,6286349.240136,2017
DropZone,364309.31145,2017
Duke Nukem Forever,693069.542991,2017
Dungeon of the Endless,740975.7533849999,2017
Dungeons & Dragons,239799677.804358,2017
Dying Light,10045556.310594,2017
E3 2017,4505579919.759829,2017
ELEX,34960584.98091601,2017
EVE Online,31532360.985594,2017
EarthBound,11188112.159637,2017
Elite: Dangerous,17836678.703844,2017
Enter the Gungeon,6376416.601044,2017
Escape From Tarkov,396913882.338435,2017
Eternal Card Game,8333289.551475,2017
Euro Truck Simulator 2,52287289.080285,2017
Europa Universalis IV,18558169.812546,2017
EverQuest,1553716.49601,2017
Everspace,436743.77964,2017
Everybody's Golf,1164621.48096,2017
Exploration,1180904.928063,2017
Extra Life,4184845.211547,2017
F1 2017,2588280.895683,2017
FIFA 17,7503876013.118499,2017
FIFA 18,10548860887.00103,2017
FINAL FANTASY XIV Online,385737557.14032006,2017
FTL: Faster Than Light,11247625.589466,2017
Factorio,22162894.086963,2017
Fallout 3,1646475.887763,2017
Fallout 4,96506836.795887,2017
Fallout: New Vegas,4754322.505799999,2017
Farming Simulator 17,19501506.168795,2017
Fate/Grand Order,1279487.887734,2017
Final Fantasy,9686869.77069,2017
Final Fantasy IV,773740.2897630001,2017
Final Fantasy IX,524116.412862,2017
Final Fantasy V,571245.302208,2017
Final Fantasy VII,30501283.175517,2017
Final Fantasy XII: The Zodiac Age,14626507.661409,2017
Final Fantasy XIV: Heavensward,34021950.101706,2017
Final Fantasy XV,16417412.12769,2017
Finding Bigfoot,2228472.769572,2017
Fire Emblem Echoes: Shadows of Valentia,397152.00890399993,2017
Fire Emblem Heroes,819858.0529860001,2017
Fire Emblem: The Blazing Blade,1581790.76853,2017
Football Manager 2017,21712741.724268,2017
Football Manager 2018,13469662.939404,2017
For Honor,6496446975.030705,2017
For The King,1623581.55288,2017
Fortnite,40282142552.92247,2017
Forts,9495683.110578,2017
Forza Horizon 3,2077740.490812,2017
Forza Motorsport 7,1141823.932704,2017
Foxhole,1982625.905232,2017
Freedom Planet,1064682.578022,2017
Friday the 13th: The Game,2576432252.3763814,2017
Games + Demos,98303918.684013,2017
Gamescom 2017,17994946.366404,2017
Gang Beasts,700089.1993199999,2017
Garry's Mod,23790682.569864,2017
Gears of War 4,70800602.84115,2017
Geometry Dash,2637260.701131,2017
Get Even,1078887.360012,2017
Getting Over It with Bennett Foddy,996278036.9363638,2017
Gigantic,24425862.197078995,2017
Girls' Frontline,9622274.246508,2017
God of War Collection,3689632.767744001,2017
God of War III,1143398.509344,2017
Gold Rush: The Game,4773384.534996,2017
Golf It!,46946058.335169,2017
Golf Story,548183.179656,2017
Golf With Your Friends,12804539.135283,2017
Gothic II: Night of the Raven,2492870.840418,2017
Gran Turismo Sport,2247544.4506200003,2017
Grand Theft Auto V,33689390405.06214,2017
Grand Theft Auto: San Andreas,15606135.01272,2017
Grand Theft Auto: Vice City,1522261.7096399998,2017
Grim Dawn,10147623.147248998,2017
Guacamelee! Gold Edition,1158289.8345060002,2017
Guild Wars 2,57377922.105021,2017
Guilty Gear Xrd Rev 2,7327214.737836,2017
Guilty Gear Xrd: Revelator,1519655.441493,2017
Guitar Hero III: Legends of Rock,676169.260536,2017
Gwent: The Witcher Card Game,582859896.856524,2017
HITMAN,695522.800896,2017
Half-Life 2,1868772.375162,2017
Halo 2,2589281.67603,2017
Halo 5: Guardians,157438048.34562,2017
Halo Wars 2,1499552.10048,2017
Halo: Combat Evolved,1373911.041132,2017
Hand Simulator,17327857.574538004,2017
Hand of Fate,1586145.709386,2017
Hand of Fate 2,42119058.724344,2017
Harvester,793254.4892999999,2017
Hearthstone,367174048538.1904,2017
Hearts of Iron IV,1381628.406501,2017
Heavy Rain,632717.7583440001,2017
Hellblade: Senua's Sacrifice,47577375.86527799,2017
Hello Neighbor,13070130.708096,2017
Heroes of Might and Magic III: The Shadow of Death,56688830.16594,2017
Heroes of Newerth,14063957.069211,2017
Heroes of the Storm,9412817862.55898,2017
Hidden Agenda,1683561.9777900004,2017
Hob,499081.401294,2017
Holdfast: Nations At War,941062.383072,2017
Hollow Knight,23707131.328797,2017
Home Sweet Home,8552869.909940999,2017
Horizon Zero Dawn,848879105.4916409,2017
House Party,1148963.732511,2017
Human: Fall Flat,22488206.651736,2017
I Wanna Be The Boshy,6713664.784785001,2017
IMDb Live Viewing Party,4625043.912615,2017
IRL,73227431069.5357,2017
Immortal Redneck,3430616.787213,2017
Infestation: The New Z,7308835.529856,2017
Injustice 2,309934993.311888,2017
Islands of Nyne: Battle Royale,551850.4260570001,2017
Jackbox Party Packs,16009151.136782998,2017
Jet Set Radio Future,1537364.113866,2017
Just Dance 2017,1554054.4212270002,2017
Just Dance 2018,1955657.589858,2017
Kantai Collection,4439427.932436,2017
Kartrider,4673046.893865,2017
Kerbal Space Program,5217753.0253800005,2017
Killer Instinct,1625558.668524,2017
Killing Floor 2,2428504.53195,2017
Kindergarten,1384941.862059,2017
Kingdom Hearts HD 1.5 + 2.5 ReMIX,7797461.657097,2017
Kingdom Hearts II,4833656.281818,2017
Kingdoms and Castles,2148858.6798,2017
Kirby Super Star,1539510.7362179998,2017
Kirby's Dream Land 3,2494884.749805,2017
Kirby: Planet Robobot,1315606.647705,2017
Knight Online,2835137.876802,2017
Kona,464666.382453,2017
L.A. Noire,14870430.668772,2017
LEGO Worlds,425007.15915,2017
LOST ARK,3920975.548056,2017
Late Shift,3434249.1166199995,2017
LawBreakers,6502071.9646890005,2017
League of Legends,1913570558496.495,2017
Left 4 Dead,1497414.8618729997,2017
Left 4 Dead 2,4116288.311814,2017
Legion TD 2,1185161.78907,2017
Let It Die,11988463.930128,2017
Life Is Feudal: MMO,6484703.882832,2017
Life is Strange,4502091.745683,2017
Life is Strange: Before the Storm,8776155.144414,2017
Line of Sight,468938.0682,2017
Lineage 2: Revolution,13606712.298564,2017
Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,221375159.646732,2017
Lineage M,6988729.965756,2017
Little Nightmares,24588566.857008,2017
Luigi's Mansion,1049384.392602,2017
M.U.G.E.N,19476398.105955,2017
MLB The Show 17,15616762.695345,2017
MU Legend,5687435.358612,2017
MXM,3433692.100671,2017
Mad Max,729389.225502,2017
Madden NFL 17,77553545.31720601,2017
Madden NFL 18,91779415.783734,2017
Mafia,664688.287956,2017
Magic: The Gathering,1096968678.72018,2017
MapleStory,24901158.501639,2017
Mario + Rabbids Kingdom Battle,23833697.75157,2017
Mario Kart 8,117906193.05801,2017
Marvel Future Fight,458612.384454,2017
Marvel vs. Capcom: Infinite,117568855.578867,2017
Mass Effect,9782532.382749,2017
Mass Effect 2,15185010.689541,2017
Mass Effect 3,8621459.755293,2017
Mass Effect: Andromeda,454013204.492484,2017
Mega Man,4576366.500321,2017
Mega Man Legends,1293651.60204,2017
Mega Man Network Transmission,1133779.366398,2017
Mega Man X,1092391.010655,2017
Mega Man X2,482502.642216,2017
Metal Gear Solid 2: Sons of Liberty,5029214.584275,2017
Metal Gear Solid V: The Phantom Pain,2115816.053379,2017
Metin2,9039834.089202,2017
Metro 2033,487962.578187,2017
Metro: Last Light,1321915.189644,2017
Metroid Fusion,1875399.0024,2017
Metroid Prime,1786683.18465,2017
Metroid Prime 2: Echoes,1870112.705139,2017
Microsoft Flight Simulator X,11030903.977086,2017
Middle-earth: Shadow of Mordor,6308986.36578,2017
Middle-earth: Shadow of War,600360381.052908,2017
Mighty No. 9,1876799.4672,2017
Minecraft,9313083351.81252,2017
Mirror's Edge,1070972.65212,2017
Miscreated,23320524.930234,2017
Mister Rogers' Neighborhood,41741177.82078301,2017
Monopoly,2771774.824728,2017
Monster Hunter Generations Ultimate,14323519.830312,2017
Monster Hunter: World,126324798.310032,2017
Mortal Kombat X,3338160.419454,2017
Mount & Blade: Warband,10003076.58588,2017
MudRunner,1056632.318385,2017
Music,495676356.583989,2017
My Summer Car,3557379.5116230003,2017
Mystery Science Theater 3000,1797635.639478,2017
NBA 2K16,2149811.40591,2017
NBA 2K17,796216615.253031,2017
NBA 2K18,299572382.021724,2017
NBA Playgrounds,1896993.065646,2017
NHL 17,442438.876992,2017
NHL 18,665379.089298,2017
Naruto Shippuden: Ultimate Ninja Storm 4,929451.142032,2017
Need For Speed: Payback,29291288.10174,2017
Next Day: Survival,2458359.318828,2017
NieR: Automata,105956431.713867,2017
Night in the Woods,1848723.806832,2017
Nioh,1831464236.567721,2017
No Man's Sky,8410433.823792001,2017
Observer,13960304.758155,2017
Old Spice Games,780841.6398720001,2017
Onimusha: Warlords,1712169.1524,2017
Ori and the Blind Forest,449394.786939,2017
Outlast,9077556.822957,2017
Outlast 2,510298718.25452095,2017
Overwatch,105949382337.23044,2017
Oxygen Not Included,38410723.316952005,2017
PAYDAY 2,3487820.885283,2017
PLAYERUNKNOWN'S BATTLEGROUNDS,662696718616.9794,2017
PaRappa the Rapper,336624.298752,2017
Paladins,251848376.987214,2017
Paper Mario: The Thousand-Year Door,7202856.680880001,2017
Paradigm,839346.4984800001,2017
Paragon,117182573.479377,2017
Party Hard Tycoon,671947.5846299999,2017
Passpartout: The Starving Artist,2217301.19247,2017
Path of Exile,6039714793.031429,2017
Penn & Teller's Smoke and Mirrors,9586598.557011,2017
Perception,574444.8753750001,2017
Persona 5,196038149.183961,2017
Phoning Home,550871.125812,2017
Poi,1007768.114367,2017
Pok<U+00E9>mon Emerald,9943180.094232,2017
Pok<U+00E9>mon GO,2647773.47625,2017
Pok<U+00E9>mon HeartGold/SoulSilver,6717745.341783,2017
Pok<U+00E9>mon Red/Blue,499971.674244,2017
Pok<U+00E9>mon Sun/Moon,418176268.348734,2017
Pok<U+00E9>mon Trading Card Game,993371.777811,2017
Pok<U+00E9>mon Trading Card Game Online,482954.639076,2017
Pok<U+00E9>mon Ultra Sun/Ultra Moon,139565609.68782598,2017
Poker,3020643285.6799083,2017
Poly Bridge,3898524.094395,2017
Portal 2,4606247.624769,2017
Power Rangers Samurai,427852.515657,2017
Power Rangers: Battle for the Grid,1389516843.881292,2017
Prey,240029826.546489,2017
Prime World,5319447.950313,2017
Prince of Persia: The Sands of Time,1033751.246913,2017
Prison Architect,627658.9419869999,2017
Pro Evolution Soccer 2018,1280746.255824,2017
Project CARS 2,885257.9297100002,2017
Punch Club,762568.2237600001,2017
Puzzle & Dragons,522842.526108,2017
Quake Champions,63841677.589347,2017
RPG Maker,335634.19537200005,2017
Ragnarok Online,3098219.148003,2017
Ragnarok Online Mobile,5015254.615518001,2017
Resident Evil,952560.19908,2017
Resident Evil 2,532050.534855,2017
Resident Evil 4,3538824.788184,2017
Resident Evil 5,3926145.486879,2017
Resident Evil 6,3675928.651920001,2017
Resident Evil 7 biohazard,2856787375.27071,2017
Resident Evil: Code Veronica X HD,2158737.1926120003,2017
Retro,131236184.394084,2017
Revelation Online,517737.64266,2017
RiME,1229212.541949,2017
RimWorld,115978942.871505,2017
Rising Storm 2: Vietnam,1171058.950824,2017
Roblox,14772323.630568,2017
Rock Band 4,1188249.372366,2017
Rock of Ages 2: Bigger & Boulder,1337081.5452750002,2017
Rocket League,3060529808.835828,2017
Rocket: Robot on Wheels,966989.292003,2017
Romance of the Three Kingdoms XIII,806806.446516,2017
Rules of Survival,1164850.081605,2017
RuneScape,7257864541.66284,2017
Rust,975567896.951886,2017
S.T.A.L.K.E.R.: Call of Pripyat,2556477.5702130003,2017
SMITE,2991808553.629245,2017
SMITE Tactics,7729200.763263,2017
SOS,20910615.621651,2017
Shadowverse,156876328.096572,2017
Shovel Knight,1381444.4693280002,2017
Sid Meier's Civilization V,14226114.049623,2017
Sid Meier's Civilization VI,553421.26497,2017
Silent Hill 4: The Room,1775635.741089,2017
Skyforge,660394.712061,2017
Slime Rancher,4165151.127984,2017
Sly Cooper and the Thievius Raccoonus,1878054.8388,2017
Sniper Elite 4,17207723.906099997,2017
Sniper: Ghost Warrior 3,1791497.345484,2017
Social Eating,17490175.561089,2017
Sonic Advance 2,1428583.70445,2017
Sonic Forces,1215511.848432,2017
Sonic Mania,10636042.35897,2017
South Park: The Fractured But Whole,1025850715.7463808,2017
South Park: The Stick of Truth,4903164.94563,2017
Sparkster,1002500.395344,2017
SpellForce 3,940836.621207,2017
Spelunky,934301.32383,2017
Splatoon 2,44374169.233359,2017
Spongebob Squarepants: Battle For Bikini Bottom,2808454.5907110004,2017
Spyro: Year of the Dragon,1488801.8298719998,2017
Squad,23364456.359727006,2017
Star Citizen,15683200.713915,2017
Star Trek: Bridge Crew,2463950.359122,2017
Star Wars Battlefront II,591845237.914098,2017
Star Wars: Force Arena,4012384.16943,2017
Star Wars: The Old Republic,1143195.741597,2017
StarCraft,231238792.04710203,2017
StarCraft II,4206117878.656428,2017
StarCraft: Brood War,18461807.141568,2017
StarTropics,1380308.484198,2017
Starbound,3418251.80277,2017
Stardew Valley,51665660.858301,2017
Stationeers,670639.648287,2017
Steep,568684.5964800001,2017
Stellaris,5578636.56021,2017
Stonehearth,4419559.121963999,2017
Stories Untold,393048.347391,2017
Strafe,447364.28646,2017
Stranded Deep,2296353.01455,2017
Street Fighter III: 3rd Strike,1155343.338576,2017
Street Fighter V,1337796816.143592,2017
Subnautica,13281458.449224,2017
Summoners War: Sky Arena,157170645.299976,2017
Super Castlevania IV,1128701.29365,2017
Super Mario 64,165109900.327659,2017
Super Mario Bros.,1202431.5072,2017
Super Mario Bros. 3,1545835.4907449998,2017
Super Mario Galaxy 2,9518589.683757002,2017
Super Mario Maker,209909983.284561,2017
Super Mario Odyssey,1058405239.47963,2017
Super Mario RPG: Legend of the Seven Stars,367616.663631,2017
Super Mario Sunshine,11011607.937792,2017
Super Mario World,7493094.02121,2017
Super Metroid,15085872.843006,2017
Super Monkey Ball Deluxe,1775439.4236810002,2017
Super Robot Taisen V,1005112.136028,2017
Super Senso,1279836.9945899998,2017
Super Smash Bros. Melee,490629086.19186,2017
Super Smash Bros. for Wii U,309351625.756698,2017
Syberia 3,595878.3425280001,2017
TERA,1008568.808037,2017
Tabletop Simulator,11271461.027232,2017
Tales of Berseria,1563033.782016,2017
Talk Shows & Podcasts,6915492740.686467,2017
Team Fortress 2,10645950.442407,2017
Tekken 7,1125528595.181718,2017
Tekken 7: Fated Retribution,1870227.439164,2017
Terraria,12669493.74978,2017
Tetris with Cardcaptor Sakura: Eternal Heart,2703994.7256,2017
Tetris: The Grand Master,2657529.132972,2017
The Binding of Isaac: Afterbirth,445147998.617364,2017
The Culling,5876786.148156,2017
The Elder Scrolls Online,71075224.636227,2017
The Elder Scrolls V: Skyrim,125508164.764164,2017
The Elder Scrolls: Legends,617250011.049042,2017
The End Is Nigh,8171547.143339999,2017
The Escapists,2037684.658401,2017
The Escapists 2,13062150.550554,2017
The Evil Within,25016587.933113,2017
The Evil Within 2,918707477.6593348,2017
The Forest,82509257.279232,2017
The Game Awards,38407783.88643,2017
The Idolmaster: Stella Stage,1276719.54102,2017
The Infectious Madness of Doctor Dekker,562207.178673,2017
The Jackbox Party Pack 4,18819464.986455,2017
The Joy Of Sex,1562066.0419140002,2017
The King of Fighters XIV,751854.715353,2017
The Last of Us,14953070.487978,2017
The Legend of Korra,1286685.582882,2017
The Legend of Zelda: A Link to the Past,71819373.987942,2017
The Legend of Zelda: Breath of the Wild,4512791006.379349,2017
The Legend of Zelda: Majora's Mask,20237677.034694,2017
The Legend of Zelda: Ocarina of Time,77040836.27366701,2017
The Legend of Zelda: Ocarina of Time 3D,4167735.994884,2017
The Legend of Zelda: Skyward Sword,733844.7380250001,2017
The Legend of Zelda: The Minish Cap,2471993.7268320005,2017
The Legend of Zelda: The Wind Waker HD,23487084.826884,2017
The Legend of Zelda: Twilight Princess HD,9083602.667349,2017
The Long Dark,65082972.735984005,2017
The Long Journey Home,849578.5813410002,2017
The Sims 4,75509002.529058,2017
The Surge,43154825.71008,2017
The Walking Dead: A New Frontier,7339316.299266001,2017
The Walking Dead: Season One,545329.669542,2017
The Wild Eight,1538588.763558,2017
The Witcher,2802601.688733,2017
The Witcher 2: Assassins of Kings,1693182.3824160004,2017
The Witcher 3: Wild Hunt,150504820.550469,2017
The Witness,604571.9012549999,2017
They Are Billions,700084875.731892,2017
Thimbleweed Park,1647984.084264,2017
This War of Mine,1447288.7728319997,2017
Throne of Lies: Medieval Politics,29554266.640647,2017
Tibia,123329988.142326,2017
Titanfall 2,6509060.205186,2017
Tom Clancy's Ghost Recon: Wildlands,287443517.568417,2017
Tom Clancy's Rainbow Six Siege,6305009358.896976,2017
Tom Clancy's The Division,338255977.704036,2017
Tomb Raider II,1452899.211456,2017
Total War: Warhammer,10135336.797012,2017
Total War: Warhammer II,73373467.710501,2017
Tower Unite,2282084.9277660004,2017
Town of Salem,962847.9378,2017
TrackMania 2: Canyon,1340170.973778,2017
TrackMania 2: Stadium,16729480.695564,2017
Trauma Center: New Blood,1245614.460804,2017
Trials Fusion,656598.742758,2017
Tricky Towers,663746.1915,2017
Tropico 5,680922.892272,2017
Trove,1023439.977861,2017
Twitch Plays,5198025.160335,2017
Twitch Presents,606810126.9844531,2017
TwitchCon 2017,16375898.061306,2017
UNO,5067143.224206,2017
Ultimate Chicken Horse,2858941.252125,2017
Ultimate Marvel vs. Capcom 3,5867907.027843,2017
Uncharted 4: A Thief's End,2138885.036316,2017
Uncharted: The Lost Legacy,34596912.076629,2017
Undertale,18763360.190169003,2017
Until Dawn,5994620.81484,2017
Use Your Words,2780749.6276980005,2017
VRChat,173448423.390858,2017
Vainglory,28021028.488488004,2017
Vanquish,867830.18616,2017
Vikings: Wolves of Midgard,297999.369171,2017
WWE 2K17,7751399.123916,2017
WWE 2K18,3852210.392268,2017
War Thunder,7533919.241856,2017
Warcraft III,273061907.104812,2017
Warframe,4874850188.732621,2017
"Warhammer 40,000: Dawn of War III",16286527.967849998,2017
Watch Dogs 2,1900973.129832,2017
Welcome to the Game,4988838.805587001,2017
Werewolves <U+72FC><U+4EBA><U+6BBA>,2118695.349078,2017
What Remains of Edith Finch,2064119.125425,2017
White Day: A Labyrinth Named School,7969289.966694,2017
Witch It,4004774.299197,2017
Wolfenstein II: The New Colossus,102161101.988001,2017
Wolfenstein: The New Order,3563662.741107,2017
World of Tanks,4026751837.966872,2017
World of Warcraft,34506068938.19654,2017
World of Warships,92948178.476958,2017
Worlds Adrift,26140293.415551,2017
Worms Armageddon,483482.888721,2017
Worms W.M.D,405398.649033,2017
Wrestling,2862803.396544,2017
XCOM 2,70219884.97167,2017
XCOM 2: War of the Chosen,249612796.527591,2017
XCOM: Enemy Within,698261.3404199999,2017
Xenoblade Chronicles 2,41255596.032756,2017
Yakuza 0,22194778.775022,2017
Yakuza 6: The Song of Life,1223301.460752,2017
Yakuza Kiwami,1695165.96417,2017
Yakuza Kiwami 2,116715345.82344002,2017
Ylands,843355.991352,2017
Yooka-Laylee,9914307.30444,2017
Youtubers Life,651861.4813199999,2017
Ys VIII: Lacrimosa of Dana,902297.4227819998,2017
Yu-Gi-Oh! Duel Links,11065170.291168,2017
Z1: Battle Royale,23247348110.034294,2017
iRacing,426786.0964080001,2017
osu!,81149076.42338699,2017
theHunter: Call of the Wild,11899213.301997,2017
